"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1e-05,0,0,0,1,0,0,1000,0,1,0,0.05,0,0.05
0.98442,1e-05,0,-8.122e-23,0,1,3.5938e-21,3.5938e-21,1000,1,1,7.5e-05,0.05,7.5e-05,0.05
0.97403,1e-05,0,-7.9815e-23,0,1,3.9534e-21,3.9534e-21,1000,2,1,0.000125,0.05,0.000125,0.05
0.96365,1e-05,0,-7.5424e-23,0,1,3.8689e-21,3.8689e-21,1000,3,1,0.000175,0.05,0.000175,0.05
0.95326,1e-05,0,-7.434e-23,0,1,3.8088e-21,3.8088e-21,1000,4,1,0.000225,0.05,0.000225,0.05
0.94288,1e-05,0,-7.4518e-23,0,1,3.803e-21,3.803e-21,1000,5,1,0.000275,0.05,0.000275,0.05
0.9325,1e-05,0,-7.4683e-23,0,1,3.8095e-21,3.8095e-21,1000,6,1,0.000325,0.05,0.000325,0.05
0.92212,1e-05,0,-7.4709e-23,0,1,3.8135e-21,3.8135e-21,1000,7,1,0.000375,0.05,0.000375,0.05
0.91175,1e-05,0,-7.4698e-23,0,1,3.8156e-21,3.8156e-21,1000,8,1,0.000425,0.05,0.000425,0.05
0.90138,1e-05,0,-7.4693e-23,0,1,3.8173e-21,3.8173e-21,1000,9,1,0.000475,0.05,0.000475,0.05
0.89101,1e-05,0,-7.4692e-23,0,1,3.8192e-21,3.8192e-21,1000,10,1,0.000525,0.05,0.000525,0.05
0.88065,1e-05,0,-7.4693e-23,0,1,3.8211e-21,3.8211e-21,1000,11,1,0.000575,0.05,0.000575,0.05
0.8703,1e-05,0,-7.4693e-23,0,1,3.8231e-21,3.8231e-21,1000,12,1,0.000625,0.05,0.000625,0.05
0.85994,1e-05,0,-7.4693e-23,0,1,3.825e-21,3.825e-21,1000,13,1,0.000675,0.05,0.000675,0.05
0.8496,1e-05,0,-7.4693e-23,0,1,3.827e-21,3.827e-21,1000,14,1,0.000725,0.05,0.000725,0.05
0.83926,1e-05,0,-7.4693e-23,0,1,3.8289e-21,3.8289e-21,1000,15,1,0.000775,0.05,0.000775,0.05
0.82892,1e-05,0,-7.4693e-23,0,1,3.8309e-21,3.8309e-21,1000,16,1,0.000825,0.05,0.000825,0.05
0.8186,1e-05,0,-7.4693e-23,0,1,3.8328e-21,3.8328e-21,1000,17,1,0.000875,0.05,0.000875,0.05
0.80828,1e-05,0,-7.4693e-23,0,1,3.8348e-21,3.8348e-21,1000,18,1,0.000925,0.05,0.000925,0.05
0.79796,1e-05,0,-7.4693e-23,0,1,3.8367e-21,3.8367e-21,1000,19,1,0.000975,0.05,0.000975,0.05
0.78766,1e-05,0,-7.4693e-23,0,1,3.8387e-21,3.8387e-21,1000,20,1,0.001025,0.05,0.001025,0.05
0.77736,1e-05,0,-7.4693e-23,0,1,3.8406e-21,3.8406e-21,1000,21,1,0.001075,0.05,0.001075,0.05
0.76707,1e-05,0,-7.4693e-23,0,1,3.8426e-21,3.8426e-21,1000,22,1,0.001125,0.05,0.001125,0.05
0.75679,1e-05,0,-7.4693e-23,0,1,3.8445e-21,3.8445e-21,1000,23,1,0.001175,0.05,0.001175,0.05
0.74652,1e-05,0,-7.4693e-23,0,1,3.8465e-21,3.8465e-21,1000,24,1,0.001225,0.05,0.001225,0.05
0.73626,1e-05,0,-7.4693e-23,0,1,3.8484e-21,3.8484e-21,1000,25,1,0.001275,0.05,0.001275,0.05
0.72601,1e-05,0,-7.4693e-23,0,1,3.8503e-21,3.8503e-21,1000,26,1,0.001325,0.05,0.001325,0.05
0.71577,1e-05,0,-7.4693e-23,0,1,3.8523e-21,3.8523e-21,1000,27,1,0.001375,0.05,0.001375,0.05
0.70554,1e-05,0,-7.4693e-23,0,1,3.8542e-21,3.8542e-21,1000,28,1,0.001425,0.05,0.001425,0.05
0.69532,1e-05,0,-7.4693e-23,0,1,3.8562e-21,3.8562e-21,1000,29,1,0.001475,0.05,0.001475,0.05
0.68511,1e-05,0,-7.4693e-23,0,1,3.8581e-21,3.8581e-21,1000,30,1,0.001525,0.05,0.001525,0.05
0.67491,1e-05,0,-7.4693e-23,0,1,3.8601e-21,3.8601e-21,1000,31,1,0.001575,0.05,0.001575,0.05
0.66473,1e-05,0,-7.4693e-23,0,1,3.862e-21,3.862e-21,1000,32,1,0.001625,0.05,0.001625,0.05
0.65455,1e-05,0,-7.4693e-23,0,1,3.864e-21,3.864e-21,1000,33,1,0.001675,0.05,0.001675,0.05
0.64439,1e-05,0,-7.4693e-23,0,1,3.8659e-21,3.8659e-21,1000,34,1,0.001725,0.05,0.001725,0.05
0.63424,1e-05,0,-7.4693e-23,0,1,3.8679e-21,3.8679e-21,1000,35,1,0.001775,0.05,0.001775,0.05
0.6241,1e-05,0,-7.4693e-23,0,1,3.8698e-21,3.8698e-21,1000,36,1,0.001825,0.05,0.001825,0.05
0.61397,1e-05,0,-7.4693e-23,0,1,3.8718e-21,3.8718e-21,1000,37,1,0.001875,0.05,0.001875,0.05
0.60386,1e-05,0,-7.4693e-23,0,1,3.8737e-21,3.8737e-21,1000,38,1,0.001925,0.05,0.001925,0.05
0.59376,1e-05,0,-7.4693e-23,0,1,3.8756e-21,3.8756e-21,1000,39,1,0.001975,0.05,0.001975,0.05
0.58367,1e-05,0,-7.4693e-23,0,1,3.8776e-21,3.8776e-21,1000,40,1,0.002025,0.05,0.002025,0.05
0.5736,1e-05,0,-7.4693e-23,0,1,3.8795e-21,3.8795e-21,1000,41,1,0.002075,0.05,0.002075,0.05
0.56353,1e-05,0,-7.4693e-23,0,1,3.8815e-21,3.8815e-21,1000,42,1,0.002125,0.05,0.002125,0.05
0.55348,1e-05,0,-7.4693e-23,0,1,3.8834e-21,3.8834e-21,1000,43,1,0.002175,0.05,0.002175,0.05
0.54345,1e-05,0,-7.4693e-23,0,1,3.8854e-21,3.8854e-21,1000,44,1,0.002225,0.05,0.002225,0.05
0.53343,1e-05,0,-7.4693e-23,0,1,3.8873e-21,3.8873e-21,1000,45,1,0.002275,0.05,0.002275,0.05
0.52342,1e-05,0,-7.4693e-23,0,1,3.8893e-21,3.8893e-21,1000,46,1,0.002325,0.05,0.002325,0.05
0.51343,1e-05,0,-7.4693e-23,0,1,3.8912e-21,3.8912e-21,1000,47,1,0.002375,0.05,0.002375,0.05
0.50345,1e-05,0,-7.4693e-23,0,1,3.8932e-21,3.8932e-21,1000,48,1,0.002425,0.05,0.002425,0.05
0.49348,1e-05,0,-7.4693e-23,0,1,3.8951e-21,3.8951e-21,1000,49,1,0.002475,0.05,0.002475,0.05
0.48353,1e-05,0,-7.4693e-23,0,1,3.897e-21,3.897e-21,1000,50,1,0.002525,0.05,0.002525,0.05
0.47359,1e-05,0,-7.4693e-23,0,1,3.899e-21,3.899e-21,1000,51,1,0.002575,0.05,0.002575,0.05
0.46366,1e-05,0,-7.4693e-23,0,1,3.9009e-21,3.9009e-21,1000,52,1,0.002625,0.05,0.002625,0.05
0.45375,1e-05,0,-7.4693e-23,0,1,3.9029e-21,3.9029e-21,1000,53,1,0.002675,0.05,0.002675,0.05
0.44385,1e-05,0,-7.4693e-23,0,1,3.9048e-21,3.9048e-21,1000,54,1,0.002725,0.05,0.002725,0.05
0.43397,1e-05,0,-7.4693e-23,0,1,3.9068e-21,3.9068e-21,1000,55,1,0.002775,0.05,0.002775,0.05
0.4241,1e-05,0,-7.4693e-23,0,1,3.9087e-21,3.9087e-21,1000,56,1,0.002825,0.05,0.002825,0.05
0.41424,1e-05,0,-7.4693e-23,0,1,3.9107e-21,3.9107e-21,1000,57,1,0.002875,0.05,0.002875,0.05
0.4044,1e-05,0,-7.4693e-23,0,1,3.9126e-21,3.9126e-21,1000,58,1,0.002925,0.05,0.002925,0.05
0.39457,1e-05,0,-7.4693e-23,0,1,3.9146e-21,3.9146e-21,1000,59,1,0.002975,0.05,0.002975,0.05
0.38475,1e-05,0,-7.4693e-23,0,1,3.9165e-21,3.9165e-21,1000,60,1,0.003025,0.05,0.003025,0.05
0.37495,1e-05,0,-7.4693e-23,0,1,3.9185e-21,3.9185e-21,1000,61,1,0.003075,0.05,0.003075,0.05
0.36516,1e-05,0,-7.4693e-23,0,1,3.9204e-21,3.9204e-21,1000,62,1,0.003125,0.05,0.003125,0.05
0.35538,1e-05,0,-7.4693e-23,0,1,3.9223e-21,3.9223e-21,1000,63,1,0.003175,0.05,0.003175,0.05
0.34562,1e-05,0,-7.4693e-23,0,1,3.9243e-21,3.9243e-21,1000,64,1,0.003225,0.05,0.003225,0.05
0.33587,1e-05,0,-7.4693e-23,0,1,3.9262e-21,3.9262e-21,1000,65,1,0.003275,0.05,0.003275,0.05
0.32613,1e-05,0,-7.4693e-23,0,1,3.9282e-21,3.9282e-21,1000,66,1,0.003325,0.05,0.003325,0.05
0.3164,1e-05,0,-7.4693e-23,0,1,3.9301e-21,3.9301e-21,1000,67,1,0.003375,0.05,0.003375,0.05
0.30668,1e-05,0,-7.4693e-23,0,1,3.9321e-21,3.9321e-21,1000,68,1,0.003425,0.05,0.003425,0.05
0.29698,1e-05,0,-7.4693e-23,0,1,3.934e-21,3.934e-21,1000,69,1,0.003475,0.05,0.003475,0.05
0.28729,1e-05,0,-7.4693e-23,0,1,3.936e-21,3.936e-21,1000,70,1,0.003525,0.05,0.003525,0.05
0.27761,1e-05,0,-7.4693e-23,0,1,3.9379e-21,3.9379e-21,1000,71,1,0.003575,0.05,0.003575,0.05
0.26794,1e-05,0,-7.4693e-23,0,1,3.9399e-21,3.9399e-21,1000,72,1,0.003625,0.05,0.003625,0.05
0.25828,1e-05,0,-7.4693e-23,0,1,3.9418e-21,3.9418e-21,1000,73,1,0.003675,0.05,0.003675,0.05
0.24864,1e-05,0,-7.4693e-23,0,1,3.9438e-21,3.9438e-21,1000,74,1,0.003725,0.05,0.003725,0.05
0.239,1e-05,0,-7.4693e-23,0,1,3.9457e-21,3.9457e-21,1000,75,1,0.003775,0.05,0.003775,0.05
0.22937,1e-05,0,-7.4693e-23,0,1,3.9476e-21,3.9476e-21,1000,76,1,0.003825,0.05,0.003825,0.05
0.21976,1e-05,0,-7.4693e-23,0,1,3.9496e-21,3.9496e-21,1000,77,1,0.003875,0.05,0.003875,0.05
0.21015,1e-05,0,-7.4693e-23,0,1,3.9515e-21,3.9515e-21,1000,78,1,0.003925,0.05,0.003925,0.05
0.20055,1e-05,0,-7.4693e-23,0,1,3.9535e-21,3.9535e-21,1000,79,1,0.003975,0.05,0.003975,0.05
0.19096,1e-05,0,-7.4693e-23,0,1,3.9554e-21,3.9554e-21,1000,80,1,0.004025,0.05,0.004025,0.05
0.18138,1e-05,0,-7.4693e-23,0,1,3.9574e-21,3.9574e-21,1000,81,1,0.004075,0.05,0.004075,0.05
0.17181,1e-05,0,-7.4693e-23,0,1,3.9593e-21,3.9593e-21,1000,82,1,0.004125,0.05,0.004125,0.05
0.16225,1e-05,0,-7.4693e-23,0,1,3.9613e-21,3.9613e-21,1000,83,1,0.004175,0.05,0.004175,0.05
0.15269,1e-05,0,-7.4693e-23,0,1,3.9632e-21,3.9632e-21,1000,84,1,0.004225,0.05,0.004225,0.05
0.14314,1e-05,0,-7.4693e-23,0,1,3.9652e-21,3.9652e-21,1000,85,1,0.004275,0.05,0.004275,0.05
0.1336,1e-05,0,-7.4693e-23,0,1,3.9671e-21,3.9671e-21,1000,86,1,0.004325,0.05,0.004325,0.05
0.12406,1e-05,0,-7.4693e-23,0,1,3.9691e-21,3.9691e-21,1000,87,1,0.004375,0.05,0.004375,0.05
0.11453,1e-05,0,-7.4693e-23,0,1,3.971e-21,3.971e-21,1000,88,1,0.004425,0.05,0.004425,0.05
0.10501,1e-05,0,-7.4693e-23,0,1,3.9729e-21,3.9729e-21,1000,89,1,0.004475,0.05,0.004475,0.05
0.09549,1e-05,0,-7.4693e-23,0,1,3.9749e-21,3.9749e-21,1000,90,1,0.004525,0.05,0.004525,0.05
0.085976,1e-05,0,-7.4693e-23,0,1,3.9768e-21,3.9768e-21,1000,91,1,0.004575,0.05,0.004575,0.05
0.076467,1e-05,0,-7.4693e-23,0,1,3.9788e-21,3.9788e-21,1000,92,1,0.004625,0.05,0.004625,0.05
0.066962,1e-05,0,-7.4693e-23,0,1,3.9807e-21,3.9807e-21,1000,93,1,0.004675,0.05,0.004675,0.05
0.057462,1e-05,0,-7.4693e-23,0,1,3.9827e-21,3.9827e-21,1000,94,1,0.004725,0.05,0.004725,0.05
0.047964,1e-05,0,-7.4693e-23,0,1,3.9846e-21,3.9846e-21,1000,95,1,0.004775,0.05,0.004775,0.05
0.03847,1e-05,0,-7.4693e-23,0,1,3.9866e-21,3.9866e-21,1000,96,1,0.004825,0.05,0.004825,0.05
0.028979,1e-05,0,-7.4692e-23,0,1,3.9886e-21,3.9886e-21,1000,97,1,0.004875,0.05,0.004875,0.05
0.019489,1e-05,0,-7.4688e-23,0,1,3.9906e-21,3.9906e-21,1000,98,1,0.004925,0.05,0.004925,0.05
0.13996,1e-05,0,-7.4684e-23,0,0.75,2.9798e-21,2.9798e-21,750.25,99,1,0.004975,0.05,0.004975,0.05
0.39041,1e-05,0,-7.4693e-23,0,0.25,9.5578e-22,9.5578e-22,250.75,100,1,0.005025,0.05,0.005025,0.05
0.511,1e-05,0,-7.4706e-23,0,0,-5.6457e-23,-5.6457e-23,1,101,1,0.005075,0.05,0.005075,0.05
