"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1e-05,0,0,0,1,0,0,1000,0,1,0,0.05,0,0.05
0.98669,1e-05,0,-8.5309e-23,0,1,3.7746e-21,3.7746e-21,1000,1,1,7.5e-05,0.05,7.5e-05,0.05
0.97781,1e-05,0,-8.3827e-23,0,1,4.1504e-21,4.1504e-21,1000,2,1,0.000125,0.05,0.000125,0.05
0.96893,1e-05,0,-7.9212e-23,0,1,4.0596e-21,4.0596e-21,1000,3,1,0.000175,0.05,0.000175,0.05
0.96006,1e-05,0,-7.8073e-23,0,1,3.9942e-21,3.9942e-21,1000,4,1,0.000225,0.05,0.000225,0.05
0.95118,1e-05,0,-7.826e-23,0,1,3.9861e-21,3.9861e-21,1000,5,1,0.000275,0.05,0.000275,0.05
0.9423,1e-05,0,-7.8433e-23,0,1,3.9909e-21,3.9909e-21,1000,6,1,0.000325,0.05,0.000325,0.05
0.93343,1e-05,0,-7.846e-23,0,1,3.9931e-21,3.9931e-21,1000,7,1,0.000375,0.05,0.000375,0.05
0.92455,1e-05,0,-7.8449e-23,0,1,3.9931e-21,3.9931e-21,1000,8,1,0.000425,0.05,0.000425,0.05
0.91568,1e-05,0,-7.8443e-23,0,1,3.9929e-21,3.9929e-21,1000,9,1,0.000475,0.05,0.000475,0.05
0.9068,1e-05,0,-7.8443e-23,0,1,3.9928e-21,3.9928e-21,1000,10,1,0.000525,0.05,0.000525,0.05
0.89793,1e-05,0,-7.8443e-23,0,1,3.9928e-21,3.9928e-21,1000,11,1,0.000575,0.05,0.000575,0.05
0.88905,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,12,1,0.000625,0.05,0.000625,0.05
0.88017,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,13,1,0.000675,0.05,0.000675,0.05
0.8713,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,14,1,0.000725,0.05,0.000725,0.05
0.86242,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,15,1,0.000775,0.05,0.000775,0.05
0.85355,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,16,1,0.000825,0.05,0.000825,0.05
0.84467,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,17,1,0.000875,0.05,0.000875,0.05
0.8358,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,18,1,0.000925,0.05,0.000925,0.05
0.82692,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,19,1,0.000975,0.05,0.000975,0.05
0.81805,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,20,1,0.001025,0.05,0.001025,0.05
0.80917,1e-05,0,-7.8444e-23,0,1,3.9928e-21,3.9928e-21,1000,21,1,0.001075,0.05,0.001075,0.05
0.8003,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,22,1,0.001125,0.05,0.001125,0.05
0.79143,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,23,1,0.001175,0.05,0.001175,0.05
0.78255,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,24,1,0.001225,0.05,0.001225,0.05
0.77368,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,25,1,0.001275,0.05,0.001275,0.05
0.76481,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,26,1,0.001325,0.05,0.001325,0.05
0.75593,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,27,1,0.001375,0.05,0.001375,0.05
0.74706,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,28,1,0.001425,0.05,0.001425,0.05
0.73819,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,29,1,0.001475,0.05,0.001475,0.05
0.72932,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,30,1,0.001525,0.05,0.001525,0.05
0.72044,1e-05,0,-7.8444e-23,0,1,3.9927e-21,3.9927e-21,1000,31,1,0.001575,0.05,0.001575,0.05
0.71157,1e-05,0,-7.8444e-23,0,1,3.9926e-21,3.9926e-21,1000,32,1,0.001625,0.05,0.001625,0.05
0.7027,1e-05,0,-7.8444e-23,0,1,3.9926e-21,3.9926e-21,1000,33,1,0.001675,0.05,0.001675,0.05
0.69383,1e-05,0,-7.8444e-23,0,1,3.9926e-21,3.9926e-21,1000,34,1,0.001725,0.05,0.001725,0.05
0.68496,1e-05,0,-7.8444e-23,0,1,3.9926e-21,3.9926e-21,1000,35,1,0.001775,0.05,0.001775,0.05
0.67609,1e-05,0,-7.8444e-23,0,1,3.9926e-21,3.9926e-21,1000,36,1,0.001825,0.05,0.001825,0.05
0.66722,1e-05,0,-7.8444e-23,0,1,3.9926e-21,3.9926e-21,1000,37,1,0.001875,0.05,0.001875,0.05
