"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1e-05,0,0,0,1,0,0,1000,0,1,0,0.05,0,0.05
0.98615,1e-05,0,-8.5309e-23,0,1,3.7746e-21,3.7746e-21,1000,1,1,7.5e-05,0.05,7.5e-05,0.05
0.97691,1e-05,0,-8.3828e-23,0,1,4.1504e-21,4.1504e-21,1000,2,1,0.000125,0.05,0.000125,0.05
0.96767,1e-05,0,-7.9212e-23,0,1,4.0596e-21,4.0596e-21,1000,3,1,0.000175,0.05,0.000175,0.05
0.95844,1e-05,0,-7.8073e-23,0,1,3.9943e-21,3.9943e-21,1000,4,1,0.000225,0.05,0.000225,0.05
0.9492,1e-05,0,-7.826e-23,0,1,3.9862e-21,3.9862e-21,1000,5,1,0.000275,0.05,0.000275,0.05
0.93997,1e-05,0,-7.8433e-23,0,1,3.991e-21,3.991e-21,1000,6,1,0.000325,0.05,0.000325,0.05
0.93073,1e-05,0,-7.8461e-23,0,1,3.9932e-21,3.9932e-21,1000,7,1,0.000375,0.05,0.000375,0.05
0.92149,1e-05,0,-7.845e-23,0,1,3.9933e-21,3.9933e-21,1000,8,1,0.000425,0.05,0.000425,0.05
0.91226,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,9,1,0.000475,0.05,0.000475,0.05
0.90302,1e-05,0,-7.8443e-23,0,1,3.993e-21,3.993e-21,1000,10,1,0.000525,0.05,0.000525,0.05
0.89379,1e-05,0,-7.8444e-23,0,1,3.993e-21,3.993e-21,1000,11,1,0.000575,0.05,0.000575,0.05
0.88455,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,12,1,0.000625,0.05,0.000625,0.05
0.87532,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,13,1,0.000675,0.05,0.000675,0.05
0.86608,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,14,1,0.000725,0.05,0.000725,0.05
0.85685,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,15,1,0.000775,0.05,0.000775,0.05
0.84761,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,16,1,0.000825,0.05,0.000825,0.05
0.83838,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,17,1,0.000875,0.05,0.000875,0.05
0.82914,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,18,1,0.000925,0.05,0.000925,0.05
0.81991,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,19,1,0.000975,0.05,0.000975,0.05
0.81067,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,20,1,0.001025,0.05,0.001025,0.05
0.80144,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,21,1,0.001075,0.05,0.001075,0.05
0.79221,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,22,1,0.001125,0.05,0.001125,0.05
0.78297,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,23,1,0.001175,0.05,0.001175,0.05
0.77374,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,24,1,0.001225,0.05,0.001225,0.05
