"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1e-05,0,0,0,1,0,0,1000,0,1,0,0.05,0,0.05
0.9853,1e-05,0,-8.5309e-23,0,1,3.7746e-21,3.7746e-21,1000,1,1,7.5e-05,0.05,7.5e-05,0.05
0.97549,1e-05,0,-8.3828e-23,0,1,4.1504e-21,4.1504e-21,1000,2,1,0.000125,0.05,0.000125,0.05
0.96569,1e-05,0,-7.9212e-23,0,1,4.0596e-21,4.0596e-21,1000,3,1,0.000175,0.05,0.000175,0.05
0.95589,1e-05,0,-7.8073e-23,0,1,3.9943e-21,3.9943e-21,1000,4,1,0.000225,0.05,0.000225,0.05
0.94608,1e-05,0,-7.826e-23,0,1,3.9862e-21,3.9862e-21,1000,5,1,0.000275,0.05,0.000275,0.05
0.93628,1e-05,0,-7.8433e-23,0,1,3.991e-21,3.991e-21,1000,6,1,0.000325,0.05,0.000325,0.05
0.92648,1e-05,0,-7.8461e-23,0,1,3.9932e-21,3.9932e-21,1000,7,1,0.000375,0.05,0.000375,0.05
0.91667,1e-05,0,-7.845e-23,0,1,3.9933e-21,3.9933e-21,1000,8,1,0.000425,0.05,0.000425,0.05
0.90687,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,9,1,0.000475,0.05,0.000475,0.05
0.89707,1e-05,0,-7.8443e-23,0,1,3.993e-21,3.993e-21,1000,10,1,0.000525,0.05,0.000525,0.05
0.88727,1e-05,0,-7.8444e-23,0,1,3.993e-21,3.993e-21,1000,11,1,0.000575,0.05,0.000575,0.05
0.87746,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,12,1,0.000625,0.05,0.000625,0.05
0.86766,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,13,1,0.000675,0.05,0.000675,0.05
0.85786,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,14,1,0.000725,0.05,0.000725,0.05
0.84806,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,15,1,0.000775,0.05,0.000775,0.05
0.83825,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,16,1,0.000825,0.05,0.000825,0.05
0.82845,1e-05,0,-7.8444e-23,0,1,3.9931e-21,3.9931e-21,1000,17,1,0.000875,0.05,0.000875,0.05
0.81865,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,18,1,0.000925,0.05,0.000925,0.05
0.80885,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,19,1,0.000975,0.05,0.000975,0.05
0.79905,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,20,1,0.001025,0.05,0.001025,0.05
0.78925,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,21,1,0.001075,0.05,0.001075,0.05
0.77945,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,22,1,0.001125,0.05,0.001125,0.05
0.76965,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,23,1,0.001175,0.05,0.001175,0.05
0.75985,1e-05,0,-7.8444e-23,0,1,3.9932e-21,3.9932e-21,1000,24,1,0.001225,0.05,0.001225,0.05
0.75005,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,25,1,0.001275,0.05,0.001275,0.05
0.74025,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,26,1,0.001325,0.05,0.001325,0.05
0.73045,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,27,1,0.001375,0.05,0.001375,0.05
0.72065,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,28,1,0.001425,0.05,0.001425,0.05
0.71085,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,29,1,0.001475,0.05,0.001475,0.05
0.70105,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,30,1,0.001525,0.05,0.001525,0.05
0.69125,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,31,1,0.001575,0.05,0.001575,0.05
0.68145,1e-05,0,-7.8444e-23,0,1,3.9933e-21,3.9933e-21,1000,32,1,0.001625,0.05,0.001625,0.05
0.67165,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,33,1,0.001675,0.05,0.001675,0.05
0.66186,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,34,1,0.001725,0.05,0.001725,0.05
0.65206,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,35,1,0.001775,0.05,0.001775,0.05
0.64226,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,36,1,0.001825,0.05,0.001825,0.05
0.63246,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,37,1,0.001875,0.05,0.001875,0.05
0.62267,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,38,1,0.001925,0.05,0.001925,0.05
0.61287,1e-05,0,-7.8444e-23,0,1,3.9934e-21,3.9934e-21,1000,39,1,0.001975,0.05,0.001975,0.05
0.60308,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,40,1,0.002025,0.05,0.002025,0.05
0.59328,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,41,1,0.002075,0.05,0.002075,0.05
0.58349,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,42,1,0.002125,0.05,0.002125,0.05
0.57369,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,43,1,0.002175,0.05,0.002175,0.05
0.5639,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,44,1,0.002225,0.05,0.002225,0.05
0.55411,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,45,1,0.002275,0.05,0.002275,0.05
0.54431,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,46,1,0.002325,0.05,0.002325,0.05
0.53452,1e-05,0,-7.8444e-23,0,1,3.9935e-21,3.9935e-21,1000,47,1,0.002375,0.05,0.002375,0.05
0.52473,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,48,1,0.002425,0.05,0.002425,0.05
0.51494,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,49,1,0.002475,0.05,0.002475,0.05
0.50515,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,50,1,0.002525,0.05,0.002525,0.05
0.49536,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,51,1,0.002575,0.05,0.002575,0.05
0.48557,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,52,1,0.002625,0.05,0.002625,0.05
0.47578,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,53,1,0.002675,0.05,0.002675,0.05
0.46599,1e-05,0,-7.8444e-23,0,1,3.9936e-21,3.9936e-21,1000,54,1,0.002725,0.05,0.002725,0.05
0.4562,1e-05,0,-7.8444e-23,0,1,3.9937e-21,3.9937e-21,1000,55,1,0.002775,0.05,0.002775,0.05
0.44641,1e-05,0,-7.8444e-23,0,1,3.9937e-21,3.9937e-21,1000,56,1,0.002825,0.05,0.002825,0.05
0.43662,1e-05,0,-7.8444e-23,0,1,3.9937e-21,3.9937e-21,1000,57,1,0.002875,0.05,0.002875,0.05
0.42684,1e-05,0,-7.8444e-23,0,1,3.9937e-21,3.9937e-21,1000,58,1,0.002925,0.05,0.002925,0.05
0.41705,1e-05,0,-7.8444e-23,0,1,3.9937e-21,3.9937e-21,1000,59,1,0.002975,0.05,0.002975,0.05
0.40726,1e-05,0,-7.8444e-23,0,1,3.9937e-21,3.9937e-21,1000,60,1,0.003025,0.05,0.003025,0.05
