"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,1e-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.4211e-14,49.05,1000,1000,0,1,0,0,0.005,0.005
0,0,1e-09,-2.8345e-15,0,0,-1.1121e-14,0,0,1,0,-1.3757e-13,0,0,-1.3757e-16,0,0,-1.2324e-09,49.05,1000,1000,0,1,0.005,0.005,0.005,0.005
0,0,1e-09,-5.6689e-15,0,0,-2.2243e-14,0,0,1,0,-2.7514e-13,0,0,-2.7514e-16,0,0,-2.4649e-09,49.05,1000,1000,0,1,0.01,0.01,0.005,0.005
0,0,1e-09,-8.5034e-15,0,0,-3.3364e-14,0,0,1,0,-4.1272e-13,0,0,-4.1272e-16,0,0,-3.6973e-09,49.05,1000,1000,0,1,0.015,0.015,0.005,0.005
0,0,1e-09,-1.1338e-14,0,0,-4.4486e-14,0,0,1,0,-5.5029e-13,0,0,-5.5029e-16,0,0,-4.9297e-09,49.05,1000,1000,0,1,0.02,0.02,0.005,0.005
0,0,1e-09,-1.4172e-14,0,0,-5.5607e-14,0,0,1,0,-6.8786e-13,0,0,-6.8786e-16,0,0,-6.1622e-09,49.05,1000,1000,0,1,0.025,0.025,0.005,0.005
1.4013e-45,1.4013e-45,1e-09,-1.7007e-14,0,0,-6.6728e-14,0,0,1,0,-8.2543e-13,0,0,-8.2543e-16,0,0,-7.3946e-09,49.05,1000,1000,0,1,0.03,0.03,0.005,0.005
1.4013e-45,1.4013e-45,1e-09,-1.9841e-14,0,0,-7.785e-14,0,0,1,0,-9.63e-13,0,0,-9.63e-16,0,0,-8.627e-09,49.05,1000,1000,0,1,0.035,0.035,0.005,0.005
1.4013e-45,1.4013e-45,1e-09,-2.2676e-14,0,0,-8.8971e-14,0,0,1,0,-1.1006e-12,0,0,-1.1006e-15,0,0,-9.8594e-09,49.05,1000,1000,0,1,0.04,0.04,0.005,0.005
1.4013e-45,1.4013e-45,1e-09,-2.551e-14,0,0,-1.0009e-13,0,0,1,0,-1.2381e-12,0,0,-1.2381e-15,0,0,-1.1092e-08,49.05,1000,1000,0,1,0.045,0.045,0.005,0.005
1.4013e-45,1.4013e-45,1e-09,-2.8345e-14,0,0,-1.1121e-13,0,0,1,0,-1.3757e-12,0,0,-1.3757e-15,0,0,-1.2324e-08,49.05,1000,1000,1,1,0.05,0.05,0.005,0.005
2.8026e-45,2.8026e-45,1e-09,-2.9355e-14,0,0,-1.1477e-13,0,0,1,0,-1.4134e-12,0,0,-1.4134e-15,0,0,-1.4278e-08,49.05,1000,1000,1,1,0.055,0.055,0.005,0.005
4.2039e-45,4.2039e-45,1e-09,-3.0366e-14,0,0,-1.1832e-13,0,0,1,0,-1.451e-12,0,0,-1.451e-15,0,0,-1.6232e-08,49.05,1000,1000,1,1,0.06,0.06,0.005,0.005
5.6052e-45,5.6052e-45,1e-09,-3.1377e-14,0,0,-1.2188e-13,0,0,1,0,-1.4887e-12,0,0,-1.4887e-15,0,0,-1.8186e-08,49.05,1000,1000,1,1,0.065,0.065,0.005,0.005
7.0065e-45,7.0065e-45,1e-09,-3.2388e-14,0,0,-1.2543e-13,0,0,1,0,-1.5263e-12,0,0,-1.5263e-15,0,0,-2.014e-08,49.05,1000,1000,1,1,0.07,0.07,0.005,0.005
8.4078e-45,8.4078e-45,1e-09,-3.3399e-14,0,0,-1.2898e-13,0,0,1,0,-1.564e-12,0,0,-1.564e-15,0,0,-2.2093e-08,49.05,1000,1000,1,1,0.075,0.075,0.005,0.005
9.8091e-45,9.8091e-45,1e-09,-3.441e-14,0,0,-1.3254e-13,0,0,1,0,-1.6016e-12,0,0,-1.6016e-15,0,0,-2.4047e-08,49.05,1000,1000,1,1,0.08,0.08,0.005,0.005
1.121e-44,1.121e-44,1e-09,-3.542e-14,0,0,-1.3609e-13,0,0,1,0,-1.6392e-12,0,0,-1.6392e-15,0,0,-2.6001e-08,49.05,1000,1000,1,1,0.085,0.085,0.005,0.005
1.2612e-44,1.2612e-44,1e-09,-3.6431e-14,0,0,-1.3964e-13,0,0,1,0,-1.6769e-12,0,0,-1.6769e-15,0,0,-2.7955e-08,49.05,1000,1000,1,1,0.09,0.09,0.005,0.005
1.4013e-44,1.4013e-44,1e-09,-3.7442e-14,0,0,-1.432e-13,0,0,1,0,-1.7145e-12,0,0,-1.7145e-15,0,0,-2.9909e-08,49.05,1000,1000,1,1,0.095,0.095,0.005,0.005
1.5414e-44,1.5414e-44,1e-09,-3.8453e-14,0,0,-1.4675e-13,0,0,1,0,-1.7522e-12,0,0,-1.7522e-15,0,0,-3.1863e-08,49.05,1000,1000,2,1,0.1,0.1,0.005,0.005
4.344e-44,4.344e-44,1e-09,-3.8726e-14,0,0,-1.4743e-13,0,0,1,0,-1.7596e-12,0,0,-1.7596e-15,0,0,-3.2458e-08,49.05,1000,1000,2,1,0.105,0.105,0.005,0.005
7.0065e-44,7.0065e-44,1e-09,-3.8999e-14,0,0,-1.4811e-13,0,0,1,0,-1.7671e-12,0,0,-1.7671e-15,0,0,-3.3053e-08,49.05,1000,1000,2,1,0.11,0.11,0.005,0.005
9.8091e-44,9.8091e-44,1e-09,-3.9273e-14,0,0,-1.4879e-13,0,0,1,0,-1.7745e-12,0,0,-1.7745e-15,0,0,-3.3648e-08,49.05,1000,1000,2,1,0.115,0.115,0.005,0.005
1.2612e-43,1.2472e-43,1e-09,-3.9546e-14,0,0,-1.4947e-13,0,0,1,0,-1.782e-12,0,0,-1.782e-15,0,0,-3.4243e-08,49.05,1000,1000,2,1,0.12,0.12,0.005,0.005
1.5274e-43,1.5274e-43,1e-09,-3.9819e-14,0,0,-1.5015e-13,0,0,1,0,-1.7894e-12,0,0,-1.7894e-15,0,0,-3.4838e-08,49.05,1000,1000,2,1,0.125,0.125,0.005,0.005
1.8077e-43,1.8077e-43,1e-09,-4.0092e-14,0,0,-1.5083e-13,0,0,1,0,-1.7969e-12,0,0,-1.7969e-15,0,0,-3.5433e-08,49.05,1000,1000,2,1,0.13,0.13,0.005,0.005
2.0879e-43,2.0739e-43,1e-09,-4.0365e-14,0,0,-1.515e-13,0,0,1,0,-1.8043e-12,0,0,-1.8043e-15,0,0,-3.6028e-08,49.05,1000,1000,2,1,0.135,0.135,0.005,0.005
2.3682e-43,2.3542e-43,1e-09,-4.0639e-14,0,0,-1.5218e-13,0,0,1,0,-1.8118e-12,0,0,-1.8118e-15,0,0,-3.6623e-08,49.05,1000,1000,2,1,0.14,0.14,0.005,0.005
2.6344e-43,2.6204e-43,1e-09,-4.0912e-14,0,0,-1.5286e-13,0,0,1,0,-1.8192e-12,0,0,-1.8192e-15,0,0,-3.7218e-08,49.05,1000,1000,2,1,0.145,0.145,0.005,0.005
2.9147e-43,2.9007e-43,1e-09,-4.1185e-14,0,0,-1.5354e-13,0,0,1,0,-1.8266e-12,0,0,-1.8267e-15,0,0,-3.7813e-08,49.05,1000,1000,3,1,0.15,0.15,0.005,0.005
8.2256e-43,8.2116e-43,1e-09,-4.2203e-14,0,0,-1.534e-13,0,0,1,0,-1.8131e-12,0,0,-1.8131e-15,0,0,-3.7675e-08,49.05,1000,1000,3,1,0.155,0.155,0.005,0.005
1.3537e-42,1.3509e-42,1e-09,-4.3222e-14,0,0,-1.5325e-13,0,0,1,0,-1.7996e-12,0,0,-1.7996e-15,0,0,-3.7537e-08,49.05,1000,1000,3,1,0.16,0.16,0.005,0.005
1.8847e-42,1.8819e-42,1e-09,-4.424e-14,0,0,-1.5311e-13,0,0,1,0,-1.7861e-12,0,0,-1.7861e-15,0,0,-3.7399e-08,49.05,1000,1000,3,1,0.165,0.165,0.005,0.005
2.4158e-42,2.413e-42,1e-09,-4.5259e-14,0,0,-1.5296e-13,0,0,1,0,-1.7726e-12,0,0,-1.7726e-15,0,0,-3.7261e-08,49.05,1000,1000,3,1,0.17,0.17,0.005,0.005
2.9455e-42,2.9427e-42,1e-09,-4.6277e-14,0,0,-1.5282e-13,0,0,1,0,-1.7591e-12,0,0,-1.7591e-15,0,0,-3.7124e-08,49.05,1000,1000,3,1,0.175,0.175,0.005,0.005
3.4766e-42,3.4738e-42,1e-09,-4.7296e-14,0,0,-1.5267e-13,0,0,1,0,-1.7456e-12,0,0,-1.7456e-15,0,0,-3.6986e-08,49.05,1000,1000,3,1,0.18,0.18,0.005,0.005
4.0077e-42,4.0049e-42,1e-09,-4.8314e-14,0,0,-1.5253e-13,0,0,1,0,-1.7321e-12,0,0,-1.7321e-15,0,0,-3.6848e-08,49.05,1000,1000,3,1,0.185,0.185,0.005,0.005
4.5388e-42,4.536e-42,1e-09,-4.9333e-14,0,0,-1.5239e-13,0,0,1,0,-1.7186e-12,0,0,-1.7186e-15,0,0,-3.671e-08,49.05,1000,1000,3,1,0.19,0.19,0.005,0.005
