"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,1e-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.4211e-14,49.05,1000,1000,0,1,0,0,0.005,0.005
0,0,1e-09,-6.1969e-15,0,0,-7.3352e-15,0,0,1,0,-2.6072e-13,0,0,-2.6072e-16,0,0,-6.5646e-10,49.05,1000,1000,0,1,0.005,0.005,0.005,0.005
0,0,1e-09,-1.2394e-14,0,0,-1.467e-14,0,0,1,0,-5.2143e-13,0,0,-5.2143e-16,0,0,-1.3129e-09,49.05,1000,1000,0,1,0.01,0.01,0.005,0.005
0,0,1e-09,-1.8591e-14,0,0,-2.2006e-14,0,0,1,0,-7.8215e-13,0,0,-7.8215e-16,0,0,-1.9694e-09,49.05,1000,1000,0,1,0.015,0.015,0.005,0.005
0,0,1e-09,-2.4787e-14,0,0,-2.9341e-14,0,0,1,0,-1.0429e-12,0,0,-1.0429e-15,0,0,-2.6258e-09,49.05,1000,1000,0,1,0.02,0.02,0.005,0.005
0,0,1e-09,-3.0984e-14,0,0,-3.6676e-14,0,0,1,0,-1.3036e-12,0,0,-1.3036e-15,0,0,-3.2823e-09,49.05,1000,1000,0,1,0.025,0.025,0.005,0.005
0,0,1e-09,-3.7181e-14,0,0,-4.4011e-14,0,0,1,0,-1.5643e-12,0,0,-1.5643e-15,0,0,-3.9387e-09,49.05,1000,1000,0,1,0.03,0.03,0.005,0.005
0,0,1e-09,-4.3378e-14,0,0,-5.1346e-14,0,0,1,0,-1.825e-12,0,0,-1.825e-15,0,0,-4.5952e-09,49.05,1000,1000,0,1,0.035,0.035,0.005,0.005
0,0,1e-09,-4.9575e-14,0,0,-5.8682e-14,0,0,1,0,-2.0857e-12,0,0,-2.0857e-15,0,0,-5.2516e-09,49.05,1000,1000,0,1,0.04,0.04,0.005,0.005
0,0,1e-09,-5.5772e-14,0,0,-6.6017e-14,0,0,1,0,-2.3464e-12,0,0,-2.3464e-15,0,0,-5.9081e-09,49.05,1000,1000,0,1,0.045,0.045,0.005,0.005
0,0,1e-09,-6.1969e-14,0,0,-7.3352e-14,0,0,1,0,-2.6072e-12,0,0,-2.6072e-15,0,0,-6.5645e-09,49.05,1000,1000,1,1,0.05,0.05,0.005,0.005
0,0,1e-09,-6.4674e-14,0,0,-7.5788e-14,0,0,1,0,-2.704e-12,0,0,-2.704e-15,0,0,-7.4133e-09,49.05,1000,1000,1,1,0.055,0.055,0.005,0.005
0,0,1e-09,-6.7378e-14,0,0,-7.8225e-14,0,0,1,0,-2.8008e-12,0,0,-2.8008e-15,0,0,-8.2622e-09,49.05,1000,1000,1,1,0.06,0.06,0.005,0.005
0,0,1e-09,-7.0083e-14,0,0,-8.0661e-14,0,0,1,0,-2.8976e-12,0,0,-2.8976e-15,0,0,-9.111e-09,49.05,1000,1000,1,1,0.065,0.065,0.005,0.005
0,0,1e-09,-7.2788e-14,0,0,-8.3097e-14,0,0,1,0,-2.9944e-12,0,0,-2.9944e-15,0,0,-9.9599e-09,49.05,1000,1000,1,1,0.07,0.07,0.005,0.005
0,0,1e-09,-7.5493e-14,0,0,-8.5533e-14,0,0,1,0,-3.0912e-12,0,0,-3.0912e-15,0,0,-1.0809e-08,49.05,1000,1000,1,1,0.075,0.075,0.005,0.005
0,0,1e-09,-7.8198e-14,0,0,-8.797e-14,0,0,1,0,-3.188e-12,0,0,-3.188e-15,0,0,-1.1658e-08,49.05,1000,1000,1,1,0.08,0.08,0.005,0.005
0,0,1e-09,-8.0903e-14,0,0,-9.0406e-14,0,0,1,0,-3.2848e-12,0,0,-3.2848e-15,0,0,-1.2506e-08,49.05,1000,1000,1,1,0.085,0.085,0.005,0.005
0,0,1e-09,-8.3608e-14,0,0,-9.2842e-14,0,0,1,0,-3.3816e-12,0,0,-3.3816e-15,0,0,-1.3355e-08,49.05,1000,1000,1,1,0.09,0.09,0.005,0.005
0,0,1e-09,-8.6312e-14,0,0,-9.5278e-14,0,0,1,0,-3.4784e-12,0,0,-3.4784e-15,0,0,-1.4204e-08,49.05,1000,1000,1,1,0.095,0.095,0.005,0.005
0,0,1e-09,-8.9017e-14,0,0,-9.7715e-14,0,0,1,0,-3.5752e-12,0,0,-3.5752e-15,0,0,-1.5053e-08,49.05,1000,1000,2,1,0.1,0.1,0.005,0.005
0,0,1e-09,-8.9994e-14,0,0,-9.7492e-14,0,0,1,0,-3.5846e-12,0,0,-3.5846e-15,0,0,-1.5176e-08,49.05,1000,1000,2,1,0.105,0.105,0.005,0.005
0,0,1e-09,-9.0971e-14,0,0,-9.727e-14,0,0,1,0,-3.5939e-12,0,0,-3.5939e-15,0,0,-1.5299e-08,49.05,1000,1000,2,1,0.11,0.11,0.005,0.005
0,0,1e-09,-9.1948e-14,0,0,-9.7047e-14,0,0,1,0,-3.6033e-12,0,0,-3.6033e-15,0,0,-1.5422e-08,49.05,1000,1000,2,1,0.115,0.115,0.005,0.005
0,0,1e-09,-9.2925e-14,0,0,-9.6825e-14,0,0,1,0,-3.6127e-12,0,0,-3.6127e-15,0,0,-1.5545e-08,49.05,1000,1000,2,1,0.12,0.12,0.005,0.005
0,0,1e-09,-9.3901e-14,0,0,-9.6602e-14,0,0,1,0,-3.622e-12,0,0,-3.622e-15,0,0,-1.5668e-08,49.05,1000,1000,2,1,0.125,0.125,0.005,0.005
0,0,1e-09,-9.4878e-14,0,0,-9.638e-14,0,0,1,0,-3.6314e-12,0,0,-3.6314e-15,0,0,-1.5791e-08,49.05,1000,1000,2,1,0.13,0.13,0.005,0.005
0,0,1e-09,-9.5855e-14,0,0,-9.6157e-14,0,0,1,0,-3.6408e-12,0,0,-3.6408e-15,0,0,-1.5914e-08,49.05,1000,1000,2,1,0.135,0.135,0.005,0.005
0,0,1e-09,-9.6832e-14,0,0,-9.5935e-14,0,0,1,0,-3.6501e-12,0,0,-3.6501e-15,0,0,-1.6037e-08,49.05,1000,1000,2,1,0.14,0.14,0.005,0.005
0,0,1e-09,-9.7809e-14,0,0,-9.5712e-14,0,0,1,0,-3.6595e-12,0,0,-3.6595e-15,0,0,-1.616e-08,49.05,1000,1000,2,1,0.145,0.145,0.005,0.005
0,0,1e-09,-9.8786e-14,0,0,-9.549e-14,0,0,1,0,-3.6688e-12,0,0,-3.6688e-15,0,0,-1.6283e-08,49.05,1000,1000,3,1,0.15,0.15,0.005,0.005
0,0,1e-09,-9.9315e-14,0,0,-9.5532e-14,0,0,1,0,-3.6758e-12,0,0,-3.6758e-15,0,0,-1.6214e-08,49.05,1000,1000,3,1,0.155,0.155,0.005,0.005
0,0,1e-09,-9.9843e-14,0,0,-9.5573e-14,0,0,1,0,-3.6827e-12,0,0,-3.6827e-15,0,0,-1.6145e-08,49.05,1000,1000,3,1,0.16,0.16,0.005,0.005
0,0,1e-09,-1.0037e-13,0,0,-9.5615e-14,0,0,1,0,-3.6897e-12,0,0,-3.6897e-15,0,0,-1.6076e-08,49.05,1000,1000,3,1,0.165,0.165,0.005,0.005
0,0,1e-09,-1.009e-13,0,0,-9.5657e-14,0,0,1,0,-3.6966e-12,0,0,-3.6966e-15,0,0,-1.6007e-08,49.05,1000,1000,3,1,0.17,0.17,0.005,0.005
0,0,1e-09,-1.0143e-13,0,0,-9.5699e-14,0,0,1,0,-3.7036e-12,0,0,-3.7036e-15,0,0,-1.5938e-08,49.05,1000,1000,3,1,0.175,0.175,0.005,0.005
0,0,1e-09,-1.0196e-13,0,0,-9.574e-14,0,0,1,0,-3.7105e-12,0,0,-3.7105e-15,0,0,-1.5869e-08,49.05,1000,1000,3,1,0.18,0.18,0.005,0.005
0,0,1e-09,-1.0249e-13,0,0,-9.5782e-14,0,0,1,0,-3.7175e-12,0,0,-3.7175e-15,0,0,-1.58e-08,49.05,1000,1000,3,1,0.185,0.185,0.005,0.005
0,0,1e-09,-1.0302e-13,0,0,-9.5824e-14,0,0,1,0,-3.7244e-12,0,0,-3.7244e-15,0,0,-1.5731e-08,49.05,1000,1000,3,1,0.19,0.19,0.005,0.005
0,0,1e-09,-1.0355e-13,0,0,-9.5866e-14,0,0,1,0,-3.7314e-12,0,0,-3.7314e-15,0,0,-1.5662e-08,49.05,1000,1000,3,1,0.195,0.195,0.005,0.005
0,0,1e-09,-1.0407e-13,0,0,-9.5908e-14,0,0,1,0,-3.7383e-12,0,0,-3.7383e-15,0,0,-1.5593e-08,49.05,1000,1000,4,1,0.2,0.2,0.005,0.005
0,0,1e-09,-1.0346e-13,0,0,-9.6946e-14,0,0,1,0,-3.7493e-12,0,0,-3.7493e-15,0,0,-1.5593e-08,49.05,1000,1000,4,1,0.205,0.205,0.005,0.005
0,0,1e-09,-1.0286e-13,0,0,-9.7984e-14,0,0,1,0,-3.7602e-12,0,0,-3.7602e-15,0,0,-1.5594e-08,49.05,1000,1000,4,1,0.21,0.21,0.005,0.005
0,0,1e-09,-1.0225e-13,0,0,-9.9022e-14,0,0,1,0,-3.7712e-12,0,0,-3.7712e-15,0,0,-1.5595e-08,49.05,1000,1000,4,1,0.215,0.215,0.005,0.005
0,0,1e-09,-1.0164e-13,0,0,-1.0006e-13,0,0,1,0,-3.7821e-12,0,0,-3.7821e-15,0,0,-1.5595e-08,49.05,1000,1000,4,1,0.22,0.22,0.005,0.005
0,0,1e-09,-1.0103e-13,0,0,-1.011e-13,0,0,1,0,-3.7931e-12,0,0,-3.7931e-15,0,0,-1.5596e-08,49.05,1000,1000,4,1,0.225,0.225,0.005,0.005
0,0,1e-09,-1.0042e-13,0,0,-1.0214e-13,0,0,1,0,-3.804e-12,0,0,-3.804e-15,0,0,-1.5596e-08,49.05,1000,1000,4,1,0.23,0.23,0.005,0.005
0,0,1e-09,-9.981e-14,0,0,-1.0318e-13,0,0,1,0,-3.815e-12,0,0,-3.815e-15,0,0,-1.5597e-08,49.05,1000,1000,4,1,0.235,0.235,0.005,0.005
0,0,1e-09,-9.9201e-14,0,0,-1.0421e-13,0,0,1,0,-3.8259e-12,0,0,-3.8259e-15,0,0,-1.5598e-08,49.05,1000,1000,4,1,0.24,0.24,0.005,0.005
0,0,1e-09,-9.8592e-14,0,0,-1.0525e-13,0,0,1,0,-3.8368e-12,0,0,-3.8368e-15,0,0,-1.5598e-08,49.05,1000,1000,4,1,0.245,0.245,0.005,0.005
0,0,1e-09,-9.7983e-14,0,0,-1.0629e-13,0,0,1,0,-3.8478e-12,0,0,-3.8478e-15,0,0,-1.5599e-08,49.05,1000,1000,5,1,0.25,0.25,0.005,0.005
0,0,1e-09,-9.8017e-14,0,0,-1.0766e-13,0,0,1,0,-3.8672e-12,0,0,-3.8672e-15,0,0,-1.5586e-08,49.05,1000,1000,5,1,0.255,0.255,0.005,0.005
0,0,1e-09,-9.8051e-14,0,0,-1.0902e-13,0,0,1,0,-3.8866e-12,0,0,-3.8866e-15,0,0,-1.5573e-08,49.05,1000,1000,5,1,0.26,0.26,0.005,0.005
0,0,1e-09,-9.8085e-14,0,0,-1.1039e-13,0,0,1,0,-3.9059e-12,0,0,-3.9059e-15,0,0,-1.556e-08,49.05,1000,1000,5,1,0.265,0.265,0.005,0.005
0,0,1e-09,-9.8119e-14,0,0,-1.1176e-13,0,0,1,0,-3.9253e-12,0,0,-3.9253e-15,0,0,-1.5546e-08,49.05,1000,1000,5,1,0.27,0.27,0.005,0.005
0,0,1e-09,-9.8153e-14,0,0,-1.1312e-13,0,0,1,0,-3.9447e-12,0,0,-3.9447e-15,0,0,-1.5533e-08,49.05,1000,1000,5,1,0.275,0.275,0.005,0.005
0,0,1e-09,-9.8187e-14,0,0,-1.1449e-13,0,0,1,0,-3.9641e-12,0,0,-3.9641e-15,0,0,-1.552e-08,49.05,1000,1000,5,1,0.28,0.28,0.005,0.005
0,0,1e-09,-9.8221e-14,0,0,-1.1586e-13,0,0,1,0,-3.9834e-12,0,0,-3.9834e-15,0,0,-1.5507e-08,49.05,1000,1000,5,1,0.285,0.285,0.005,0.005
0,0,1e-09,-9.8255e-14,0,0,-1.1722e-13,0,0,1,0,-4.0028e-12,0,0,-4.0028e-15,0,0,-1.5494e-08,49.05,1000,1000,5,1,0.29,0.29,0.005,0.005
0,0,1e-09,-9.8289e-14,0,0,-1.1859e-13,0,0,1,0,-4.0222e-12,0,0,-4.0222e-15,0,0,-1.5481e-08,49.05,1000,1000,5,1,0.295,0.295,0.005,0.005
0,0,1e-09,-9.8323e-14,0,0,-1.1996e-13,0,0,1,0,-4.0416e-12,0,0,-4.0416e-15,0,0,-1.5468e-08,49.05,1000,1000,6,1,0.3,0.3,0.005,0.005
0,0,1e-09,-1.0056e-13,0,0,-1.2038e-13,0,0,1,0,-4.064e-12,0,0,-4.064e-15,0,0,-1.548e-08,49.05,1000,1000,6,1,0.305,0.305,0.005,0.005
0,0,1e-09,-1.0279e-13,0,0,-1.208e-13,0,0,1,0,-4.0864e-12,0,0,-4.0864e-15,0,0,-1.5493e-08,49.05,1000,1000,6,1,0.31,0.31,0.005,0.005
0,0,1e-09,-1.0503e-13,0,0,-1.2122e-13,0,0,1,0,-4.1088e-12,0,0,-4.1088e-15,0,0,-1.5506e-08,49.05,1000,1000,6,1,0.315,0.315,0.005,0.005
0,0,1e-09,-1.0726e-13,0,0,-1.2165e-13,0,0,1,0,-4.1312e-12,0,0,-4.1312e-15,0,0,-1.5519e-08,49.05,1000,1000,6,1,0.32,0.32,0.005,0.005
0,0,1e-09,-1.095e-13,0,0,-1.2207e-13,0,0,1,0,-4.1536e-12,0,0,-4.1536e-15,0,0,-1.5531e-08,49.05,1000,1000,6,1,0.325,0.325,0.005,0.005
0,0,1e-09,-1.1173e-13,0,0,-1.2249e-13,0,0,1,0,-4.176e-12,0,0,-4.176e-15,0,0,-1.5544e-08,49.05,1000,1000,6,1,0.33,0.33,0.005,0.005
0,0,1e-09,-1.1397e-13,0,0,-1.2292e-13,0,0,1,0,-4.1984e-12,0,0,-4.1984e-15,0,0,-1.5557e-08,49.05,1000,1000,6,1,0.335,0.335,0.005,0.005
0,0,1e-09,-1.162e-13,0,0,-1.2334e-13,0,0,1,0,-4.2208e-12,0,0,-4.2208e-15,0,0,-1.5569e-08,49.05,1000,1000,6,1,0.34,0.34,0.005,0.005
0,0,1e-09,-1.1844e-13,0,0,-1.2376e-13,0,0,1,0,-4.2432e-12,0,0,-4.2432e-15,0,0,-1.5582e-08,49.05,1000,1000,6,1,0.345,0.345,0.005,0.005
0,0,1e-09,-1.2067e-13,0,0,-1.2418e-13,0,0,1,0,-4.2657e-12,0,0,-4.2657e-15,0,0,-1.5595e-08,49.05,1000,1000,7,1,0.35,0.35,0.005,0.005
0,0,1e-09,-1.2299e-13,0,0,-1.2372e-13,0,0,1,0,-4.2804e-12,0,0,-4.2804e-15,0,0,-1.5625e-08,49.05,1000,1000,7,1,0.355,0.355,0.005,0.005
0,0,1e-09,-1.2531e-13,0,0,-1.2326e-13,0,0,1,0,-4.2951e-12,0,0,-4.2951e-15,0,0,-1.5655e-08,49.05,1000,1000,7,1,0.36,0.36,0.005,0.005
0,0,1e-09,-1.2763e-13,0,0,-1.228e-13,0,0,1,0,-4.3099e-12,0,0,-4.3099e-15,0,0,-1.5684e-08,49.05,1000,1000,7,1,0.365,0.365,0.005,0.005
