"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.565e-25,1.5647e-25,1e-09,0,0,0,0,0,0,1,2.797e-31,0,0,0,0,0,0,-1.4211e-14,49.05,1000,1000,0,1,0,0,0.005,0.005
1.9147e-25,1.9144e-25,1e-09,-5.1278e-15,0,0,5.242e-15,0,0,1,3.3992e-31,-1.9561e-14,0,0,-1.9561e-17,0,0,1.7206e-10,49.05,1000,1000,0,1,0.005,0.005,0.005,0.005
2.2644e-25,2.264e-25,1e-09,-1.0256e-14,0,0,1.0484e-14,0,0,1,4.0013e-31,-3.9122e-14,0,0,-3.9122e-17,0,0,3.4414e-10,49.05,1000,1000,0,1,0.01,0.01,0.005,0.005
2.6141e-25,2.6136e-25,1e-09,-1.5383e-14,0,0,1.5726e-14,0,0,1,4.6034e-31,-5.8682e-14,0,0,-5.8682e-17,0,0,5.1621e-10,49.05,1000,1000,0,1,0.015,0.015,0.005,0.005
2.9638e-25,2.9632e-25,1e-09,-2.0511e-14,0,0,2.0968e-14,0,0,1,5.2056e-31,-7.8243e-14,0,0,-7.8243e-17,0,0,6.8829e-10,49.05,1000,1000,0,1,0.02,0.02,0.005,0.005
3.3135e-25,3.3129e-25,1e-09,-2.5639e-14,0,0,2.621e-14,0,0,1,5.8077e-31,-9.7804e-14,0,0,-9.7804e-17,0,0,8.6036e-10,49.05,1000,1000,0,1,0.025,0.025,0.005,0.005
3.6631e-25,3.6625e-25,1e-09,-3.0767e-14,0,0,3.1452e-14,0,0,1,6.4099e-31,-1.1736e-13,0,0,-1.1736e-16,0,0,1.0324e-09,49.05,1000,1000,0,1,0.03,0.03,0.005,0.005
4.0128e-25,4.0121e-25,1e-09,-3.5895e-14,0,0,3.6694e-14,0,0,1,7.012e-31,-1.3693e-13,0,0,-1.3693e-16,0,0,1.2045e-09,49.05,1000,1000,0,1,0.035,0.035,0.005,0.005
4.3625e-25,4.3618e-25,1e-09,-4.1022e-14,0,0,4.1936e-14,0,0,1,7.6142e-31,-1.5649e-13,0,0,-1.5649e-16,0,0,1.3766e-09,49.05,1000,1000,0,1,0.04,0.04,0.005,0.005
4.7122e-25,4.7114e-25,1e-09,-4.615e-14,0,0,4.7178e-14,0,0,1,8.2163e-31,-1.7605e-13,0,0,-1.7605e-16,0,0,1.5487e-09,49.05,1000,1000,0,1,0.045,0.045,0.005,0.005
5.0619e-25,5.061e-25,1e-09,-5.1278e-14,0,0,5.242e-14,0,0,1,8.8185e-31,-1.9561e-13,0,0,-1.9561e-16,0,0,1.7207e-09,49.05,1000,1000,1,1,0.05,0.05,0.005,0.005
7.6166e-25,7.6153e-25,1e-09,-5.2744e-14,0,0,5.4207e-14,0,0,1,1.3118e-30,-2.0674e-13,0,0,-2.0674e-16,0,0,1.3446e-09,49.05,1000,1000,1,1,0.055,0.055,0.005,0.005
1.0171e-24,1.017e-24,1e-09,-5.421e-14,0,0,5.5993e-14,0,0,1,1.7417e-30,-2.1788e-13,0,0,-2.1788e-16,0,0,9.6854e-10,49.05,1000,1000,1,1,0.06,0.06,0.005,0.005
1.2726e-24,1.2724e-24,1e-09,-5.5676e-14,0,0,5.778e-14,0,0,1,2.1716e-30,-2.2901e-13,0,0,-2.2901e-16,0,0,5.9244e-10,49.05,1000,1000,1,1,0.065,0.065,0.005,0.005
1.5281e-24,1.5278e-24,1e-09,-5.7142e-14,0,0,5.9566e-14,0,0,1,2.6016e-30,-2.4015e-13,0,0,-2.4015e-16,0,0,2.1634e-10,49.05,1000,1000,1,1,0.07,0.07,0.005,0.005
1.7835e-24,1.7832e-24,1e-09,-5.8608e-14,0,0,6.1352e-14,0,0,1,3.0315e-30,-2.5128e-13,0,0,-2.5128e-16,0,0,-1.5977e-10,49.05,1000,1000,1,1,0.075,0.075,0.005,0.005
2.039e-24,2.0386e-24,1e-09,-6.0074e-14,0,0,6.3139e-14,0,0,1,3.4614e-30,-2.6241e-13,0,0,-2.6241e-16,0,0,-5.3587e-10,49.05,1000,1000,1,1,0.08,0.08,0.005,0.005
2.2945e-24,2.2941e-24,1e-09,-6.154e-14,0,0,6.4925e-14,0,0,1,3.8914e-30,-2.7355e-13,0,0,-2.7355e-16,0,0,-9.1197e-10,49.05,1000,1000,1,1,0.085,0.085,0.005,0.005
2.5499e-24,2.5495e-24,1e-09,-6.3006e-14,0,0,6.6712e-14,0,0,1,4.3213e-30,-2.8468e-13,0,0,-2.8468e-16,0,0,-1.2881e-09,49.05,1000,1000,1,1,0.09,0.09,0.005,0.005
2.8054e-24,2.8049e-24,1e-09,-6.4472e-14,0,0,6.8498e-14,0,0,1,4.7512e-30,-2.9582e-13,0,0,-2.9582e-16,0,0,-1.6642e-09,49.05,1000,1000,1,1,0.095,0.095,0.005,0.005
3.0609e-24,3.0603e-24,1e-09,-6.5938e-14,0,0,7.0285e-14,0,0,1,5.1812e-30,-3.0695e-13,0,0,-3.0695e-16,0,0,-2.0403e-09,49.05,1000,1000,2,1,0.1,0.1,0.005,0.005
4.6118e-24,4.6111e-24,1e-09,-6.6949e-14,0,0,7.0179e-14,0,0,1,7.7188e-30,-2.9721e-13,0,0,-2.9721e-16,0,0,-2.483e-09,49.05,1000,1000,2,1,0.105,0.105,0.005,0.005
6.1628e-24,6.1618e-24,1e-09,-6.796e-14,0,0,7.0074e-14,0,0,1,1.0256e-29,-2.8747e-13,0,0,-2.8747e-16,0,0,-2.9257e-09,49.05,1000,1000,2,1,0.11,0.11,0.005,0.005
7.7138e-24,7.7125e-24,1e-09,-6.897e-14,0,0,6.9969e-14,0,0,1,1.2794e-29,-2.7773e-13,0,0,-2.7773e-16,0,0,-3.3684e-09,49.05,1000,1000,2,1,0.115,0.115,0.005,0.005
9.2648e-24,9.2632e-24,1e-09,-6.9981e-14,0,0,6.9864e-14,0,0,1,1.5332e-29,-2.6798e-13,0,0,-2.6798e-16,0,0,-3.8112e-09,49.05,1000,1000,2,1,0.12,0.12,0.005,0.005
1.0816e-23,1.0814e-23,1e-09,-7.0991e-14,0,0,6.9759e-14,0,0,1,1.7869e-29,-2.5824e-13,0,0,-2.5824e-16,0,0,-4.2539e-09,49.05,1000,1000,2,1,0.125,0.125,0.005,0.005
1.2367e-23,1.2365e-23,1e-09,-7.2002e-14,0,0,6.9654e-14,0,0,1,2.0407e-29,-2.485e-13,0,0,-2.485e-16,0,0,-4.6966e-09,49.05,1000,1000,2,1,0.13,0.13,0.005,0.005
1.3918e-23,1.3915e-23,1e-09,-7.3013e-14,0,0,6.9549e-14,0,0,1,2.2944e-29,-2.3876e-13,0,0,-2.3876e-16,0,0,-5.1394e-09,49.05,1000,1000,2,1,0.135,0.135,0.005,0.005
1.5469e-23,1.5466e-23,1e-09,-7.4023e-14,0,0,6.9444e-14,0,0,1,2.5482e-29,-2.2901e-13,0,0,-2.2901e-16,0,0,-5.5821e-09,49.05,1000,1000,2,1,0.14,0.14,0.005,0.005
1.702e-23,1.7017e-23,1e-09,-7.5034e-14,0,0,6.9339e-14,0,0,1,2.8019e-29,-2.1927e-13,0,0,-2.1927e-16,0,0,-6.0248e-09,49.05,1000,1000,2,1,0.145,0.145,0.005,0.005
1.8571e-23,1.8568e-23,1e-09,-7.6044e-14,0,0,6.9234e-14,0,0,1,3.0557e-29,-2.0953e-13,0,0,-2.0953e-16,0,0,-6.4675e-09,49.05,1000,1000,3,1,0.15,0.15,0.005,0.005
2.7762e-23,2.7758e-23,1e-09,-7.6824e-14,0,0,6.9206e-14,0,0,1,4.5161e-29,-1.9249e-13,0,0,-1.9249e-16,0,0,-6.335e-09,49.05,1000,1000,3,1,0.155,0.155,0.005,0.005
3.6954e-23,3.6948e-23,1e-09,-7.7604e-14,0,0,6.9179e-14,0,0,1,5.9766e-29,-1.7545e-13,0,0,-1.7545e-16,0,0,-6.2024e-09,49.05,1000,1000,3,1,0.16,0.16,0.005,0.005
4.6145e-23,4.6138e-23,1e-09,-7.8384e-14,0,0,6.9151e-14,0,0,1,7.437e-29,-1.5842e-13,0,0,-1.5842e-16,0,0,-6.0699e-09,49.05,1000,1000,3,1,0.165,0.165,0.005,0.005
5.5336e-23,5.5328e-23,1e-09,-7.9164e-14,0,0,6.9124e-14,0,0,1,8.8974e-29,-1.4138e-13,0,0,-1.4138e-16,0,0,-5.9373e-09,49.05,1000,1000,3,1,0.17,0.17,0.005,0.005
6.4528e-23,6.4518e-23,1e-09,-7.9944e-14,0,0,6.9096e-14,0,0,1,1.0358e-28,-1.2434e-13,0,0,-1.2434e-16,0,0,-5.8048e-09,49.05,1000,1000,3,1,0.175,0.175,0.005,0.005
7.3719e-23,7.3708e-23,1e-09,-8.0724e-14,0,0,6.9069e-14,0,0,1,1.1818e-28,-1.073e-13,0,0,-1.073e-16,0,0,-5.6722e-09,49.05,1000,1000,3,1,0.18,0.18,0.005,0.005
8.2911e-23,8.2898e-23,1e-09,-8.1504e-14,0,0,6.9042e-14,0,0,1,1.3279e-28,-9.0266e-14,0,0,-9.0266e-17,0,0,-5.5396e-09,49.05,1000,1000,3,1,0.185,0.185,0.005,0.005
9.2102e-23,9.2088e-23,1e-09,-8.2284e-14,0,0,6.9014e-14,0,0,1,1.4739e-28,-7.3228e-14,0,0,-7.3228e-17,0,0,-5.4071e-09,49.05,1000,1000,3,1,0.19,0.19,0.005,0.005
1.0129e-22,1.0128e-22,1e-09,-8.3064e-14,0,0,6.8987e-14,0,0,1,1.62e-28,-5.6191e-14,0,0,-5.6191e-17,0,0,-5.2745e-09,49.05,1000,1000,3,1,0.195,0.195,0.005,0.005
1.1049e-22,1.1047e-22,1e-09,-8.3843e-14,0,0,6.8959e-14,0,0,1,1.766e-28,-3.9153e-14,0,0,-3.9153e-17,0,0,-5.142e-09,49.05,1000,1000,4,1,0.2,0.2,0.005,0.005
1.6383e-22,1.6381e-22,1e-09,-8.3349e-14,0,0,6.9341e-14,0,0,1,2.5885e-28,-2.9232e-14,0,0,-2.9232e-17,0,0,-4.9501e-09,49.05,1000,1000,4,1,0.205,0.205,0.005,0.005
2.1718e-22,2.1715e-22,1e-09,-8.2854e-14,0,0,6.9723e-14,0,0,1,3.411e-28,-1.9311e-14,0,0,-1.9311e-17,0,0,-4.7581e-09,49.05,1000,1000,4,1,0.21,0.21,0.005,0.005
2.7053e-22,2.7049e-22,1e-09,-8.236e-14,0,0,7.0105e-14,0,0,1,4.2335e-28,-9.39e-15,0,0,-9.39e-18,0,0,-4.5662e-09,49.05,1000,1000,4,1,0.215,0.215,0.005,0.005
