"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.94055,1.4e-09,0,3.322e-20,0,1,-1.2219e-20,-1.2219e-20,1000,14,1,0.096667,0.0005,0.096667,0.0005
0.97093,1.4e-09,0,3.322e-20,0,1,-1.2221e-20,-1.2221e-20,1000,15,1,0.10333,0.0005,0.10333,0.0005
1.0013,1.4e-09,0,3.322e-20,0,1,-1.2222e-20,-1.2222e-20,1000,16,1,0.11,0.0005,0.11,0.0005
1.0317,1.4e-09,0,3.322e-20,0,1,-1.2223e-20,-1.2223e-20,1000,17,1,0.11667,0.0005,0.11667,0.0005
1.0621,1.4e-09,0,3.322e-20,0,1,-1.2225e-20,-1.2225e-20,1000,18,1,0.12333,0.0005,0.12333,0.0005
1.0925,1.4e-09,0,3.322e-20,0,1,-1.2226e-20,-1.2226e-20,1000,19,1,0.13,0.0005,0.13,0.0005
1.1228,1.4e-09,0,3.322e-20,0,1,-1.2228e-20,-1.2228e-20,1000,20,1,0.13667,0.0005,0.13667,0.0005
1.1532,1.4e-09,0,3.3221e-20,0,1,-1.223e-20,-1.223e-20,1000,21,1,0.14333,0.0005,0.14333,0.0005
1.1836,1.4e-09,0,3.3221e-20,0,1,-1.2231e-20,-1.2231e-20,1000,22,1,0.15,0.0005,0.15,0.0005
1.214,1.4e-09,0,3.3221e-20,0,1,-1.2233e-20,-1.2233e-20,1000,23,1,0.15667,0.0005,0.15667,0.0005
1.2444,1.4e-09,0,3.3221e-20,0,1,-1.2234e-20,-1.2234e-20,1000,24,1,0.16333,0.0005,0.16333,0.0005
1.2748,1.4e-09,0,3.3221e-20,0,1,-1.2236e-20,-1.2236e-20,1000,25,1,0.17,0.0005,0.17,0.0005
1.3051,1.4e-09,0,3.3221e-20,0,1,-1.2238e-20,-1.2238e-20,1000,26,1,0.17667,0.0005,0.17667,0.0005
1.3355,1.4e-09,0,3.3221e-20,0,1,-1.224e-20,-1.224e-20,1000,27,1,0.18333,0.0005,0.18333,0.0005
1.3659,1.4e-09,0,3.3221e-20,0,1,-1.2241e-20,-1.2241e-20,1000,28,1,0.19,0.0005,0.19,0.0005
1.3963,1.4e-09,0,3.3221e-20,0,1,-1.2243e-20,-1.2243e-20,1000,29,1,0.19667,0.0005,0.19667,0.0005
1.4267,1.4e-09,0,3.3221e-20,0,1,-1.2245e-20,-1.2245e-20,1000,30,1,0.20333,0.0005,0.20333,0.0005
1.4571,1.4e-09,0,3.3221e-20,0,1,-1.2247e-20,-1.2247e-20,1000,31,1,0.21,0.0005,0.21,0.0005
1.4874,1.4e-09,0,3.3221e-20,0,1,-1.2248e-20,-1.2248e-20,1000,32,1,0.21667,0.0005,0.21667,0.0005
1.5178,1.4e-09,0,3.3221e-20,0,1,-1.225e-20,-1.225e-20,1000,33,1,0.22333,0.0005,0.22333,0.0005
1.5482,1.4e-09,0,3.3221e-20,0,1,-1.2252e-20,-1.2252e-20,1000,34,1,0.23,0.0005,0.23,0.0005
1.5786,1.4e-09,0,3.3221e-20,0,1,-1.2254e-20,-1.2254e-20,1000,35,1,0.23667,0.0005,0.23667,0.0005
1.609,1.4e-09,0,3.3221e-20,0,1,-1.2255e-20,-1.2255e-20,1000,36,1,0.24333,0.0005,0.24333,0.0005
1.6394,1.4e-09,0,3.3221e-20,0,1,-1.2257e-20,-1.2257e-20,1000,37,1,0.25,0.0005,0.25,0.0005
1.6697,1.4e-09,0,3.3221e-20,0,1,-1.2259e-20,-1.2259e-20,1000,38,1,0.25667,0.0005,0.25667,0.0005
1.7001,1.4e-09,0,3.3221e-20,0,1,-1.2261e-20,-1.2261e-20,1000,39,1,0.26333,0.0005,0.26333,0.0005
1.7305,1.4e-09,0,3.3221e-20,0,1,-1.2263e-20,-1.2263e-20,1000,40,1,0.27,0.0005,0.27,0.0005
1.7609,1.4e-09,0,3.3221e-20,0,1,-1.2265e-20,-1.2265e-20,1000,41,1,0.27667,0.0005,0.27667,0.0005
1.7913,1.4e-09,0,3.3221e-20,0,1,-1.2266e-20,-1.2266e-20,1000,42,1,0.28333,0.0005,0.28333,0.0005
1.8217,1.4e-09,0,3.3221e-20,0,1,-1.2268e-20,-1.2268e-20,1000,43,1,0.29,0.0005,0.29,0.0005
1.852,1.4e-09,0,3.3221e-20,0,1,-1.227e-20,-1.227e-20,1000,44,1,0.29667,0.0005,0.29667,0.0005
1.8824,1.4e-09,0,3.3221e-20,0,1,-1.2272e-20,-1.2272e-20,1000,45,1,0.30333,0.0005,0.30333,0.0005
1.9128,1.4e-09,0,3.3221e-20,0,1,-1.2273e-20,-1.2273e-20,1000,46,1,0.31,0.0005,0.31,0.0005
1.9432,1.4e-09,0,3.3221e-20,0,1,-1.2275e-20,-1.2275e-20,1000,47,1,0.31667,0.0005,0.31667,0.0005
1.9736,1.4e-09,0,3.3221e-20,0,1,-1.2277e-20,-1.2277e-20,1000,48,1,0.32333,0.0005,0.32333,0.0005
2.0039,1.4e-09,0,3.3221e-20,0,1,-1.2278e-20,-1.2278e-20,1000,49,1,0.33,0.0005,0.33,0.0005
2.0343,1.4e-09,0,3.3221e-20,0,1,-1.228e-20,-1.228e-20,1000,50,1,0.33667,0.0005,0.33667,0.0005
2.0647,1.4e-09,0,3.3221e-20,0,1,-1.2282e-20,-1.2282e-20,1000,51,1,0.34333,0.0005,0.34333,0.0005
2.0951,1.4e-09,0,3.3221e-20,0,1,-1.2283e-20,-1.2283e-20,1000,52,1,0.35,0.0005,0.35,0.0005
2.1255,1.4e-09,0,3.322e-20,0,1,-1.2285e-20,-1.2285e-20,1000,53,1,0.35667,0.0005,0.35667,0.0005
2.1559,1.4e-09,0,3.322e-20,0,1,-1.2286e-20,-1.2286e-20,1000,54,1,0.36333,0.0005,0.36333,0.0005
2.1863,1.4e-09,0,3.322e-20,0,1,-1.2288e-20,-1.2288e-20,1000,55,1,0.37,0.0005,0.37,0.0005
2.2166,1.4e-09,0,3.322e-20,0,1,-1.2289e-20,-1.2289e-20,1000,56,1,0.37667,0.0005,0.37667,0.0005
2.247,1.4e-09,0,3.322e-20,0,1,-1.2291e-20,-1.2291e-20,1000,57,1,0.38333,0.0005,0.38333,0.0005
2.2774,1.4e-09,0,3.322e-20,0,1,-1.2292e-20,-1.2292e-20,1000,58,1,0.39,0.0005,0.39,0.0005
