"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.8821e-13,2.8731e-13,5e-06,0,0,0,0,0,0,1,8.9037e-16,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0,2.5,0,0.005
7.444e-13,7.4221e-13,5e-06,0,0,0,0,0,0,1,2.1892e-15,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.05,2.5,0.05,0.005
5.2348e-12,5.2205e-12,5e-06,0,0,0,0,0,0,1,1.4309e-14,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.15,2.5,0.15,0.005
5.2348e-12,5.2205e-12,5e-06,0,0,0,0,0,0,1,1.4309e-14,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.15,2.5,0.15,0.005
3.9116e-11,3.9016e-11,5e-06,0,0,0,0,0,0,1,9.957e-14,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.25,2.5,0.25,0.005
3.9116e-11,3.9016e-11,5e-06,0,0,0,0,0,0,1,9.957e-14,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.25,2.5,0.25,0.005
2.778e-10,2.7714e-10,5e-06,0,0,0,0,0,0,1,6.5546e-13,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.35,2.5,0.35,0.005
2.778e-10,2.7714e-10,5e-06,0,0,0,0,0,0,1,6.5546e-13,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.35,2.5,0.35,0.005
1.8669e-09,1.8628e-09,5e-06,0,0,0,0,0,0,1,4.06e-12,0,0,0,0,0,0,0,49.05,1000,1000,225,1,0.45,2.5,0.45,0.005
1.8669e-09,1.8628e-09,5e-06,0,0,0,0,0,0,1,4.06e-12,0,0,0,0,0,0,0,49.05,1000,1000,225,1,0.45,2.5,0.45,0.005
1.1837e-08,1.1813e-08,5e-06,0,0,0,0,0,0,1,2.3571e-11,0,0,0,0,0,0,0,49.05,1000,1000,275,1,0.55,2.5,0.55,0.005
1.1837e-08,1.1813e-08,5e-06,0,0,0,0,0,0,1,2.3571e-11,0,0,0,0,0,0,0,49.05,1000,1000,275,1,0.55,2.5,0.55,0.005
7.0571e-08,7.0444e-08,5e-06,0,0,0,0,0,0,1,1.2772e-10,0,0,0,0,0,0,0,49.05,1000,1000,325,1,0.65,2.5,0.65,0.005
7.0571e-08,7.0444e-08,5e-06,0,0,0,0,0,0,1,1.2772e-10,0,0,0,0,0,0,0,49.05,1000,1000,325,1,0.65,2.5,0.65,0.005
3.9424e-07,3.936e-07,5e-06,0,0,0,0,0,0,1,6.4272e-10,0,0,0,0,0,0,0,49.05,1000,1000,375,1,0.75,2.5,0.75,0.005
3.9424e-07,3.936e-07,5e-06,0,0,0,0,0,0,1,6.4272e-10,0,0,0,0,0,0,0,49.05,1000,1000,375,1,0.75,2.5,0.75,0.005
2.0555e-06,2.0525e-06,5e-06,0,0,0,0,0,0,1,2.9871e-09,0,0,0,0,0,0,0,49.05,1000,1000,425,1,0.85,2.5,0.85,0.005
2.0555e-06,2.0525e-06,5e-06,0,0,0,0,0,0,1,2.9871e-09,0,0,0,0,0,0,0,49.05,1000,1000,425,1,0.85,2.5,0.85,0.005
9.9574e-06,9.9446e-06,5e-06,0,0,0,0,0,0,1,1.2738e-08,0,0,0,0,0,0,0,49.05,1000,1000,475,1,0.95,2.5,0.95,0.005
9.9574e-06,9.9446e-06,5e-06,0,0,0,0,0,0,1,1.2738e-08,0,0,0,0,0,0,0,49.05,1000,1000,475,1,0.95,2.5,0.95,0.005
4.4601e-05,4.4551e-05,5e-06,0,0,0,0,0,0,1,4.9461e-08,0,0,0,0,0,0,0,49.05,1000,1000,525,1,1.05,2.5,1.05,0.005
4.4601e-05,4.4551e-05,5e-06,0,0,0,0,0,0,1,4.9461e-08,0,0,0,0,0,0,0,49.05,1000,1000,525,1,1.05,2.5,1.05,0.005
0.00018372,0.00018354,5e-06,0,0,0,0,0,0,1,1.7329e-07,0,0,0,0,0,0,0,49.05,1000,1000,575,1,1.15,2.5,1.15,0.005
0.00018372,0.00018354,5e-06,0,0,0,0,0,0,1,1.7329e-07,0,0,0,0,0,0,0,49.05,1000,1000,575,1,1.15,2.5,1.15,0.005
