"C","U:0","U:1","U:2","alpha.water","p_rgh","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,25,1,0,2.5,0,0.005
0,0,0,0,1,0,25,1,0.05,2.5,0.05,0.005
0,0,0,0,1,0,75,1,0.15,2.5,0.15,0.005
0,0,0,0,1,0,75,1,0.15,2.5,0.15,0.005
0,0,0,0,1,0,125,1,0.25,2.5,0.25,0.005
0,0,0,0,1,0,125,1,0.25,2.5,0.25,0.005
0,0,0,0,1,0,175,1,0.35,2.5,0.35,0.005
0,0,0,0,1,0,175,1,0.35,2.5,0.35,0.005
0,0,0,0,1,0,225,1,0.45,2.5,0.45,0.005
0,0,0,0,1,0,225,1,0.45,2.5,0.45,0.005
0,0,0,0,1,0,275,1,0.55,2.5,0.55,0.005
0,0,0,0,1,0,275,1,0.55,2.5,0.55,0.005
0,0,0,0,1,0,325,1,0.65,2.5,0.65,0.005
0,0,0,0,1,0,325,1,0.65,2.5,0.65,0.005
0,0,0,0,1,0,375,1,0.75,2.5,0.75,0.005
0,0,0,0,1,0,375,1,0.75,2.5,0.75,0.005
0,0,0,0,1,0,425,1,0.85,2.5,0.85,0.005
0,0,0,0,1,0,425,1,0.85,2.5,0.85,0.005
0,0,0,0,1,0,475,1,0.95,2.5,0.95,0.005
0,0,0,0,1,0,475,1,0.95,2.5,0.95,0.005
0,0,0,0,1,0,525,1,1.05,2.5,1.05,0.005
0,0,0,0,1,0,525,1,1.05,2.5,1.05,0.005
0,0,0,0,1,0,575,1,1.15,2.5,1.15,0.005
0,0,0,0,1,0,575,1,1.15,2.5,1.15,0.005
0,0,0,0,1,0,625,1,1.25,2.5,1.25,0.005
0,0,0,0,1,0,625,1,1.25,2.5,1.25,0.005
0,0,0,0,1,0,675,1,1.35,2.5,1.35,0.005
0,0,0,0,1,0,675,1,1.35,2.5,1.35,0.005
0,0,0,0,1,0,725,1,1.45,2.5,1.45,0.005
0,0,0,0,1,0,725,1,1.45,2.5,1.45,0.005
0,0,0,0,1,0,775,1,1.55,2.5,1.55,0.005
0,0,0,0,1,0,775,1,1.55,2.5,1.55,0.005
0,0,0,0,1,0,825,1,1.65,2.5,1.65,0.005
0,0,0,0,1,0,825,1,1.65,2.5,1.65,0.005
0,0,0,0,1,0,875,1,1.75,2.5,1.75,0.005
0,0,0,0,1,0,875,1,1.75,2.5,1.75,0.005
0,0,0,0,1,0,925,1,1.85,2.5,1.85,0.005
0,0,0,0,1,0,925,1,1.85,2.5,1.85,0.005
0.25,0,0,0,1,0,975,1,1.95,2.5,1.95,0.005
0.25,0,0,0,1,0,975,1,1.95,2.5,1.95,0.005
0.75,0,0,0,1,0,1025,1,2.05,2.5,2.05,0.005
0.75,0,0,0,1,0,1025,1,2.05,2.5,2.05,0.005
1,0,0,0,1,0,1075,1,2.15,2.5,2.15,0.005
1,0,0,0,1,0,1075,1,2.15,2.5,2.15,0.005
1,0,0,0,1,0,1125,1,2.25,2.5,2.25,0.005
1,0,0,0,1,0,1125,1,2.25,2.5,2.25,0.005
1,0,0,0,1,0,1175,1,2.35,2.5,2.35,0.005
1,0,0,0,1,0,1175,1,2.35,2.5,2.35,0.005
1,0,0,0,1,0,1225,1,2.45,2.5,2.45,0.005
1,0,0,0,1,0,1225,1,2.45,2.5,2.45,0.005
1,0,0,0,1,0,1275,1,2.55,2.5,2.55,0.005
1,0,0,0,1,0,1275,1,2.55,2.5,2.55,0.005
1,0,0,0,1,0,1325,1,2.65,2.5,2.65,0.005
1,0,0,0,1,0,1325,1,2.65,2.5,2.65,0.005
1,0,0,0,1,0,1375,1,2.75,2.5,2.75,0.005
1,0,0,0,1,0,1375,1,2.75,2.5,2.75,0.005
1,0,0,0,1,0,1425,1,2.85,2.5,2.85,0.005
1,0,0,0,1,0,1425,1,2.85,2.5,2.85,0.005
0.75,0,0,0,1,0,1475,1,2.95,2.5,2.95,0.005
0.75,0,0,0,1,0,1475,1,2.95,2.5,2.95,0.005
0.25,0,0,0,1,0,1525,1,3.05,2.5,3.05,0.005
0.25,0,0,0,1,0,1525,1,3.05,2.5,3.05,0.005
0,0,0,0,1,0,1575,1,3.15,2.5,3.15,0.005
