"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0243e-08,8.1756e-09,5e-07,0,0,0,0,0,0,1,8.724e-09,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0,0.025,0,0.005
1.0794e-08,8.6261e-09,5e-07,0,0,0,0,0,0,1,9.1566e-09,0,0,0,0,0,0,0,49.05,1000,1000,25,1,5e-05,0.025,5e-05,0.005
1.1345e-08,9.0767e-09,5e-07,0,0,0,0,0,0,1,9.5892e-09,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0001,0.025,0.0001,0.005
1.1896e-08,9.5272e-09,5e-07,0,0,0,0,0,0,1,1.0022e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00015,0.025,0.00015,0.005
1.2446e-08,9.9778e-09,5e-07,0,0,0,0,0,0,1,1.0454e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0002,0.025,0.0002,0.005
1.2997e-08,1.0428e-08,5e-07,0,0,0,0,0,0,1,1.0887e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00025,0.025,0.00025,0.005
1.3548e-08,1.0879e-08,5e-07,0,0,0,0,0,0,1,1.132e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0003,0.025,0.0003,0.005
1.4099e-08,1.1329e-08,5e-07,0,0,0,0,0,0,1,1.1752e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00035,0.025,0.00035,0.005
1.465e-08,1.178e-08,5e-07,0,0,0,0,0,0,1,1.2185e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0004,0.025,0.0004,0.005
1.52e-08,1.223e-08,5e-07,0,0,0,0,0,0,1,1.2618e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00045,0.025,0.00045,0.005
1.5751e-08,1.2681e-08,5e-07,0,0,0,0,0,0,1,1.305e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0005,0.025,0.0005,0.005
1.6302e-08,1.3132e-08,5e-07,0,0,0,0,0,0,1,1.3483e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00055,0.025,0.00055,0.005
1.6853e-08,1.3582e-08,5e-07,0,0,0,0,0,0,1,1.3916e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0006,0.025,0.0006,0.005
1.7404e-08,1.4033e-08,5e-07,0,0,0,0,0,0,1,1.4348e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00065,0.025,0.00065,0.005
1.7954e-08,1.4483e-08,5e-07,0,0,0,0,0,0,1,1.4781e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0007,0.025,0.0007,0.005
1.8505e-08,1.4934e-08,5e-07,0,0,0,0,0,0,1,1.5213e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00075,0.025,0.00075,0.005
1.9056e-08,1.5384e-08,5e-07,0,0,0,0,0,0,1,1.5646e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0008,0.025,0.0008,0.005
1.9607e-08,1.5835e-08,5e-07,0,0,0,0,0,0,1,1.6079e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00085,0.025,0.00085,0.005
2.0158e-08,1.6285e-08,5e-07,0,0,0,0,0,0,1,1.6511e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0009,0.025,0.0009,0.005
2.0708e-08,1.6736e-08,5e-07,0,0,0,0,0,0,1,1.6944e-08,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00095,0.025,0.00095,0.005
2.1259e-08,1.7186e-08,5e-07,0,0,0,0,0,0,1,1.7377e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.001,0.025,0.001,0.005
2.398e-08,1.9435e-08,5e-07,0,0,0,0,0,0,1,1.9432e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00105,0.025,0.00105,0.005
2.67e-08,2.1684e-08,5e-07,0,0,0,0,0,0,1,2.1487e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0011,0.025,0.0011,0.005
2.9421e-08,2.3932e-08,5e-07,0,0,0,0,0,0,1,2.3541e-08,0,0,0,0,0,0,-1.199e-14,49.05,1000,1000,75,1,0.00115,0.025,0.00115,0.005
3.2141e-08,2.6181e-08,5e-07,0,0,0,0,0,0,1,2.5596e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0012,0.025,0.0012,0.005
3.4862e-08,2.843e-08,5e-07,0,0,0,0,0,0,1,2.7651e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00125,0.025,0.00125,0.005
3.7583e-08,3.0678e-08,5e-07,0,0,0,0,0,0,1,2.9706e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0013,0.025,0.0013,0.005
4.0303e-08,3.2927e-08,5e-07,0,0,0,0,0,0,1,3.1761e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00135,0.025,0.00135,0.005
4.3024e-08,3.5176e-08,5e-07,0,0,0,0,0,0,1,3.3816e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0014,0.025,0.0014,0.005
4.5744e-08,3.7424e-08,5e-07,0,0,0,0,0,0,1,3.5871e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00145,0.025,0.00145,0.005
4.8465e-08,3.9673e-08,5e-07,0,0,0,0,0,0,1,3.7926e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0015,0.025,0.0015,0.005
5.1185e-08,4.1922e-08,5e-07,0,0,0,0,0,0,1,3.9981e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00155,0.025,0.00155,0.005
5.3906e-08,4.4171e-08,5e-07,0,0,0,0,0,0,1,4.2036e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0016,0.025,0.0016,0.005
5.6627e-08,4.6419e-08,5e-07,0,0,0,0,0,0,1,4.4091e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00165,0.025,0.00165,0.005
5.9347e-08,4.8668e-08,5e-07,0,0,0,0,0,0,1,4.6146e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0017,0.025,0.0017,0.005
6.2068e-08,5.0917e-08,5e-07,0,0,0,0,0,0,1,4.8201e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00175,0.025,0.00175,0.005
6.4788e-08,5.3165e-08,5e-07,0,0,0,0,0,0,1,5.0256e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0018,0.025,0.0018,0.005
6.7509e-08,5.5414e-08,5e-07,0,0,0,0,0,0,1,5.2311e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00185,0.025,0.00185,0.005
7.0229e-08,5.7663e-08,5e-07,0,0,0,0,0,0,1,5.4366e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0019,0.025,0.0019,0.005
7.295e-08,5.9911e-08,5e-07,0,0,0,0,0,0,1,5.6421e-08,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00195,0.025,0.00195,0.005
7.567e-08,6.216e-08,5e-07,0,0,0,0,0,0,1,5.8476e-08,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.002,0.025,0.002,0.005
8.5591e-08,7.0475e-08,5e-07,0,0,0,0,0,0,1,6.5552e-08,0,0,0,0,0,0,1.4877e-14,49.05,1000,1000,125,1,0.00205,0.025,0.00205,0.005
9.5511e-08,7.8791e-08,5e-07,0,0,0,0,0,0,1,7.2628e-08,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0021,0.025,0.0021,0.005
1.0543e-07,8.7106e-08,5e-07,0,0,0,0,0,0,1,7.9703e-08,0,0,0,0,0,0,-1.199e-14,49.05,1000,1000,125,1,0.00215,0.025,0.00215,0.005
1.1535e-07,9.5422e-08,5e-07,0,0,0,0,0,0,1,8.6779e-08,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0022,0.025,0.0022,0.005
1.2527e-07,1.0374e-07,5e-07,0,0,0,0,0,0,1,9.3855e-08,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00225,0.025,0.00225,0.005
1.3519e-07,1.1205e-07,5e-07,0,0,0,0,0,0,1,1.0093e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0023,0.025,0.0023,0.005
1.4511e-07,1.2037e-07,5e-07,0,0,0,0,0,0,1,1.0801e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00235,0.025,0.00235,0.005
1.5503e-07,1.2868e-07,5e-07,0,0,0,0,0,0,1,1.1508e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0024,0.025,0.0024,0.005
1.6495e-07,1.37e-07,5e-07,0,0,0,0,0,0,1,1.2216e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00245,0.025,0.00245,0.005
1.7487e-07,1.4532e-07,5e-07,0,0,0,0,0,0,1,1.2923e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0025,0.025,0.0025,0.005
1.8479e-07,1.5363e-07,5e-07,0,0,0,0,0,0,1,1.3631e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00255,0.025,0.00255,0.005
1.9471e-07,1.6195e-07,5e-07,0,0,0,0,0,0,1,1.4339e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0026,0.025,0.0026,0.005
2.0464e-07,1.7026e-07,5e-07,0,0,0,0,0,0,1,1.5046e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00265,0.025,0.00265,0.005
2.1456e-07,1.7858e-07,5e-07,0,0,0,0,0,0,1,1.5754e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0027,0.025,0.0027,0.005
2.2448e-07,1.8689e-07,5e-07,0,0,0,0,0,0,1,1.6461e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00275,0.025,0.00275,0.005
2.344e-07,1.9521e-07,5e-07,0,0,0,0,0,0,1,1.7169e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0028,0.025,0.0028,0.005
2.4432e-07,2.0352e-07,5e-07,0,0,0,0,0,0,1,1.7877e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00285,0.025,0.00285,0.005
2.5424e-07,2.1184e-07,5e-07,0,0,0,0,0,0,1,1.8584e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0029,0.025,0.0029,0.005
2.6416e-07,2.2015e-07,5e-07,0,0,0,0,0,0,1,1.9292e-07,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.00295,0.025,0.00295,0.005
2.7408e-07,2.2847e-07,5e-07,0,0,0,0,0,0,1,1.9999e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.003,0.025,0.003,0.005
3.0832e-07,2.5759e-07,5e-07,0,0,0,0,0,0,1,2.2285e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.00305,0.025,0.00305,0.005
3.4256e-07,2.8671e-07,5e-07,0,0,0,0,0,0,1,2.457e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.0031,0.025,0.0031,0.005
3.7679e-07,3.1584e-07,5e-07,0,0,0,0,0,0,1,2.6856e-07,0,0,0,0,0,0,-1.199e-14,49.05,1000,1000,175,1,0.00315,0.025,0.00315,0.005
4.1103e-07,3.4496e-07,5e-07,0,0,0,0,0,0,1,2.9142e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.0032,0.025,0.0032,0.005
4.4527e-07,3.7408e-07,5e-07,0,0,0,0,0,0,1,3.1427e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.00325,0.025,0.00325,0.005
4.7951e-07,4.032e-07,5e-07,0,0,0,0,0,0,1,3.3713e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.0033,0.025,0.0033,0.005
5.1375e-07,4.3232e-07,5e-07,0,0,0,0,0,0,1,3.5998e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.00335,0.025,0.00335,0.005
5.4799e-07,4.6145e-07,5e-07,0,0,0,0,0,0,1,3.8284e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.0034,0.025,0.0034,0.005
5.8223e-07,4.9057e-07,5e-07,0,0,0,0,0,0,1,4.057e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.00345,0.025,0.00345,0.005
6.1647e-07,5.1969e-07,5e-07,0,0,0,0,0,0,1,4.2855e-07,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.0035,0.025,0.0035,0.005
