"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.6803e-07,5.8838e-07,5e-07,0,0,0,0,0,0,1,3.6372e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0,0.025,0,0.005
6.8914e-07,6.0733e-07,5e-07,0,0,0,0,0,0,1,3.7378e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,5e-05,0.025,5e-05,0.005
7.1025e-07,6.2627e-07,5e-07,0,0,0,0,0,0,1,3.8384e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0001,0.025,0.0001,0.005
7.3136e-07,6.4522e-07,5e-07,0,0,0,0,0,0,1,3.939e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00015,0.025,0.00015,0.005
7.5247e-07,6.6417e-07,5e-07,0,0,0,0,0,0,1,4.0396e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0002,0.025,0.0002,0.005
7.7358e-07,6.8311e-07,5e-07,0,0,0,0,0,0,1,4.1402e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00025,0.025,0.00025,0.005
7.9469e-07,7.0206e-07,5e-07,0,0,0,0,0,0,1,4.2407e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0003,0.025,0.0003,0.005
8.158e-07,7.21e-07,5e-07,0,0,0,0,0,0,1,4.3413e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00035,0.025,0.00035,0.005
8.3691e-07,7.3995e-07,5e-07,0,0,0,0,0,0,1,4.4419e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0004,0.025,0.0004,0.005
8.5802e-07,7.589e-07,5e-07,0,0,0,0,0,0,1,4.5425e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00045,0.025,0.00045,0.005
8.7913e-07,7.7784e-07,5e-07,0,0,0,0,0,0,1,4.6431e-07,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0005,0.025,0.0005,0.005
