"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.1574e-12,1.2581e-12,5e-07,0,0,0,0,0,0,1,2.9207e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0,0.025,0,0.005
2.4039e-12,1.4077e-12,5e-07,0,0,0,0,0,0,1,3.2473e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,5e-05,0.025,5e-05,0.005
2.6505e-12,1.5573e-12,5e-07,0,0,0,0,0,0,1,3.574e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0001,0.025,0.0001,0.005
2.897e-12,1.707e-12,5e-07,0,0,0,0,0,0,1,3.9007e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00015,0.025,0.00015,0.005
3.1435e-12,1.8566e-12,5e-07,0,0,0,0,0,0,1,4.2274e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0002,0.025,0.0002,0.005
3.3901e-12,2.0062e-12,5e-07,0,0,0,0,0,0,1,4.5541e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00025,0.025,0.00025,0.005
3.6366e-12,2.1558e-12,5e-07,0,0,0,0,0,0,1,4.8808e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0003,0.025,0.0003,0.005
3.8832e-12,2.3054e-12,5e-07,0,0,0,0,0,0,1,5.2075e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00035,0.025,0.00035,0.005
4.1297e-12,2.455e-12,5e-07,0,0,0,0,0,0,1,5.5341e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0004,0.025,0.0004,0.005
4.3762e-12,2.6046e-12,5e-07,0,0,0,0,0,0,1,5.8608e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00045,0.025,0.00045,0.005
4.6228e-12,2.7542e-12,5e-07,0,0,0,0,0,0,1,6.1875e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0005,0.025,0.0005,0.005
4.8693e-12,2.9038e-12,5e-07,0,0,0,0,0,0,1,6.5142e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00055,0.025,0.00055,0.005
5.1158e-12,3.0534e-12,5e-07,0,0,0,0,0,0,1,6.8409e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0006,0.025,0.0006,0.005
5.3624e-12,3.203e-12,5e-07,0,0,0,0,0,0,1,7.1676e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00065,0.025,0.00065,0.005
5.6089e-12,3.3526e-12,5e-07,0,0,0,0,0,0,1,7.4943e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0007,0.025,0.0007,0.005
5.8555e-12,3.5022e-12,5e-07,0,0,0,0,0,0,1,7.8209e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00075,0.025,0.00075,0.005
6.102e-12,3.6518e-12,5e-07,0,0,0,0,0,0,1,8.1476e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0008,0.025,0.0008,0.005
6.3485e-12,3.8014e-12,5e-07,0,0,0,0,0,0,1,8.4743e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00085,0.025,0.00085,0.005
6.5951e-12,3.951e-12,5e-07,0,0,0,0,0,0,1,8.801e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.0009,0.025,0.0009,0.005
6.8416e-12,4.1006e-12,5e-07,0,0,0,0,0,0,1,9.1277e-12,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.00095,0.025,0.00095,0.005
7.0881e-12,4.2502e-12,5e-07,0,0,0,0,0,0,1,9.4544e-12,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.001,0.025,0.001,0.005
8.8879e-12,5.3696e-12,5e-07,0,0,0,0,0,0,1,1.1799e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00105,0.025,0.00105,0.005
1.0688e-11,6.4889e-12,5e-07,0,0,0,0,0,0,1,1.4144e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0011,0.025,0.0011,0.005
1.2487e-11,7.6083e-12,5e-07,0,0,0,0,0,0,1,1.6489e-11,0,0,0,0,0,0,-1.199e-14,49.05,1000,1000,75,1,0.00115,0.025,0.00115,0.005
1.4287e-11,8.7277e-12,5e-07,0,0,0,0,0,0,1,1.8833e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0012,0.025,0.0012,0.005
1.6087e-11,9.847e-12,5e-07,0,0,0,0,0,0,1,2.1178e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00125,0.025,0.00125,0.005
1.7887e-11,1.0966e-11,5e-07,0,0,0,0,0,0,1,2.3523e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0013,0.025,0.0013,0.005
1.9686e-11,1.2086e-11,5e-07,0,0,0,0,0,0,1,2.5868e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00135,0.025,0.00135,0.005
2.1486e-11,1.3205e-11,5e-07,0,0,0,0,0,0,1,2.8213e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0014,0.025,0.0014,0.005
2.3286e-11,1.4324e-11,5e-07,0,0,0,0,0,0,1,3.0557e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00145,0.025,0.00145,0.005
2.5086e-11,1.5444e-11,5e-07,0,0,0,0,0,0,1,3.2902e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0015,0.025,0.0015,0.005
2.6885e-11,1.6563e-11,5e-07,0,0,0,0,0,0,1,3.5247e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00155,0.025,0.00155,0.005
2.8685e-11,1.7683e-11,5e-07,0,0,0,0,0,0,1,3.7592e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0016,0.025,0.0016,0.005
3.0485e-11,1.8802e-11,5e-07,0,0,0,0,0,0,1,3.9937e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00165,0.025,0.00165,0.005
3.2285e-11,1.9921e-11,5e-07,0,0,0,0,0,0,1,4.2281e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0017,0.025,0.0017,0.005
3.4084e-11,2.1041e-11,5e-07,0,0,0,0,0,0,1,4.4626e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00175,0.025,0.00175,0.005
3.5884e-11,2.216e-11,5e-07,0,0,0,0,0,0,1,4.6971e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0018,0.025,0.0018,0.005
3.7684e-11,2.3279e-11,5e-07,0,0,0,0,0,0,1,4.9316e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00185,0.025,0.00185,0.005
3.9483e-11,2.4399e-11,5e-07,0,0,0,0,0,0,1,5.166e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.0019,0.025,0.0019,0.005
4.1283e-11,2.5518e-11,5e-07,0,0,0,0,0,0,1,5.4005e-11,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.00195,0.025,0.00195,0.005
4.3083e-11,2.6637e-11,5e-07,0,0,0,0,0,0,1,5.635e-11,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.002,0.025,0.002,0.005
5.3865e-11,3.3545e-11,5e-07,0,0,0,0,0,0,1,7.0068e-11,0,0,0,0,0,0,1.4877e-14,49.05,1000,1000,125,1,0.00205,0.025,0.00205,0.005
6.4647e-11,4.0453e-11,5e-07,0,0,0,0,0,0,1,8.3786e-11,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.0021,0.025,0.0021,0.005
7.5429e-11,4.7361e-11,5e-07,0,0,0,0,0,0,1,9.7504e-11,0,0,0,0,0,0,-1.199e-14,49.05,1000,1000,125,1,0.00215,0.025,0.00215,0.005
